------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.2 port 5001 connected with 10.4.0.1 port 53432
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   732 KBytes  6.00 Mbits/sec   0.012 ms    5/  515 (0.97%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.007 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.012 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   734 KBytes  6.01 Mbits/sec   0.017 ms    0/  511 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.018 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.010 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec   0.461 ms    0/  414 (0%)
[  3]  7.0- 8.0 sec   594 KBytes  4.87 Mbits/sec   0.461 ms    0/  414 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.461 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   589 KBytes  4.82 Mbits/sec   0.459 ms    0/  410 (0%)
[  3] 10.0-11.0 sec   594 KBytes  4.87 Mbits/sec   0.462 ms    0/  414 (0%)
[  3] 11.0-12.0 sec   593 KBytes  4.86 Mbits/sec   0.459 ms    0/  413 (0%)
[  3] 12.0-13.0 sec   627 KBytes  5.14 Mbits/sec   0.534 ms   39/  476 (8.2%)
[  3] 13.0-14.0 sec   652 KBytes  5.34 Mbits/sec   0.517 ms   57/  511 (11%)
[  3] 14.0-15.0 sec   646 KBytes  5.29 Mbits/sec   0.495 ms   60/  510 (12%)
[  3] 15.0-16.0 sec   649 KBytes  5.32 Mbits/sec   0.549 ms   55/  507 (11%)
[  3] 16.0-17.0 sec   657 KBytes  5.39 Mbits/sec   0.556 ms   54/  512 (11%)
[  3] 17.0-18.0 sec   645 KBytes  5.28 Mbits/sec   0.566 ms   62/  511 (12%)
[  3] 18.0-19.0 sec   652 KBytes  5.34 Mbits/sec   0.542 ms   57/  511 (11%)
[  3] 19.0-20.0 sec   647 KBytes  5.30 Mbits/sec   0.521 ms   59/  510 (12%)
[  3] 20.0-21.0 sec   653 KBytes  5.35 Mbits/sec   0.518 ms   55/  510 (11%)
[  3] 21.0-22.0 sec   653 KBytes  5.35 Mbits/sec   0.590 ms   52/  507 (10%)
[  3] 22.0-23.0 sec   649 KBytes  5.32 Mbits/sec   0.565 ms   62/  514 (12%)
[  3] 23.0-24.0 sec   655 KBytes  5.36 Mbits/sec   0.490 ms   54/  510 (11%)
[  3] 24.0-25.0 sec   652 KBytes  5.34 Mbits/sec   0.527 ms   56/  510 (11%)
[  3] 25.0-26.0 sec   655 KBytes  5.36 Mbits/sec   0.523 ms   55/  511 (11%)
[  3] 26.0-27.0 sec   640 KBytes  5.24 Mbits/sec   0.555 ms   58/  504 (12%)
[  3] 27.0-28.0 sec   632 KBytes  5.17 Mbits/sec   0.680 ms   76/  516 (15%)
[  3] 28.0-29.0 sec   655 KBytes  5.36 Mbits/sec   0.638 ms   53/  509 (10%)
[  3] 29.0-30.0 sec   659 KBytes  5.40 Mbits/sec   0.549 ms   52/  511 (10%)
[  3] 30.0-31.0 sec   653 KBytes  5.35 Mbits/sec   0.547 ms   55/  510 (11%)
[  3] 31.0-32.0 sec   649 KBytes  5.32 Mbits/sec   0.538 ms   54/  506 (11%)
[  3] 32.0-33.0 sec   649 KBytes  5.32 Mbits/sec   0.553 ms   57/  509 (11%)
[  3] 33.0-34.0 sec   647 KBytes  5.30 Mbits/sec   0.530 ms   65/  516 (13%)
[  3] 34.0-35.0 sec   650 KBytes  5.33 Mbits/sec   0.525 ms   57/  510 (11%)
[  3] 35.0-36.0 sec   655 KBytes  5.36 Mbits/sec   0.525 ms   50/  506 (9.9%)
[  3] 36.0-37.0 sec   642 KBytes  5.26 Mbits/sec   0.552 ms   67/  514 (13%)
[  3] 37.0-38.0 sec   659 KBytes  5.40 Mbits/sec   0.541 ms   52/  511 (10%)
[  3] 38.0-39.0 sec   656 KBytes  5.37 Mbits/sec   0.500 ms   53/  510 (10%)
