------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.2 port 5001 connected with 10.1.0.2 port 35165
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   488 KBytes  4.00 Mbits/sec   0.025 ms    0/  340 (0%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.010 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   488 KBytes  4.00 Mbits/sec   0.024 ms    0/  340 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.007 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   490 KBytes  4.01 Mbits/sec   0.024 ms    0/  341 (0%)
[  3]  5.0- 6.0 sec   488 KBytes  4.00 Mbits/sec   0.017 ms    0/  340 (0%)
[  3]  6.0- 7.0 sec   396 KBytes  3.25 Mbits/sec   0.705 ms    0/  276 (0%)
[  3]  7.0- 8.0 sec   392 KBytes  3.21 Mbits/sec   0.689 ms    0/  273 (0%)
[  3]  8.0- 9.0 sec   396 KBytes  3.25 Mbits/sec   0.689 ms    0/  276 (0%)
[  3]  9.0-10.0 sec   395 KBytes  3.23 Mbits/sec   0.725 ms    0/  275 (0%)
[  3] 10.0-11.0 sec   396 KBytes  3.25 Mbits/sec   0.700 ms    0/  276 (0%)
[  3] 11.0-12.0 sec   393 KBytes  3.22 Mbits/sec   0.689 ms    0/  274 (0%)
[  3] 12.0-13.0 sec   444 KBytes  3.63 Mbits/sec   0.587 ms   10/  319 (3.1%)
[  3] 13.0-14.0 sec   474 KBytes  3.88 Mbits/sec   0.546 ms   11/  341 (3.2%)
[  3] 14.0-15.0 sec   479 KBytes  3.93 Mbits/sec   0.606 ms    6/  340 (1.8%)
[  3] 15.0-16.0 sec   467 KBytes  3.82 Mbits/sec   0.595 ms   12/  337 (3.6%)
[  3] 16.0-17.0 sec   477 KBytes  3.90 Mbits/sec   0.634 ms   11/  343 (3.2%)
[  3] 17.0-18.0 sec   477 KBytes  3.90 Mbits/sec   0.539 ms    8/  340 (2.4%)
[  3] 18.0-19.0 sec   475 KBytes  3.89 Mbits/sec   0.596 ms    9/  340 (2.6%)
[  3] 19.0-20.0 sec   467 KBytes  3.82 Mbits/sec   0.581 ms   15/  340 (4.4%)
[  3] 20.0-21.0 sec   461 KBytes  3.77 Mbits/sec   0.523 ms   17/  338 (5%)
[  3] 21.0-22.0 sec   474 KBytes  3.88 Mbits/sec   0.548 ms   13/  343 (3.8%)
[  3] 22.0-23.0 sec   471 KBytes  3.86 Mbits/sec   0.581 ms   12/  340 (3.5%)
[  3] 23.0-24.0 sec   467 KBytes  3.82 Mbits/sec   0.575 ms   15/  340 (4.4%)
[  3] 24.0-25.0 sec   465 KBytes  3.81 Mbits/sec   0.545 ms   16/  340 (4.7%)
[  3] 25.0-26.0 sec   474 KBytes  3.88 Mbits/sec   0.532 ms   10/  340 (2.9%)
[  3] 26.0-27.0 sec   471 KBytes  3.86 Mbits/sec   0.576 ms   12/  340 (3.5%)
[  3] 27.0-28.0 sec   468 KBytes  3.83 Mbits/sec   0.582 ms   14/  340 (4.1%)
[  3] 28.0-29.0 sec   469 KBytes  3.85 Mbits/sec   0.546 ms   14/  341 (4.1%)
[  3] 29.0-30.0 sec   474 KBytes  3.88 Mbits/sec   0.648 ms   10/  340 (2.9%)
[  3] 30.0-31.0 sec   471 KBytes  3.86 Mbits/sec   0.588 ms   12/  340 (3.5%)
[  3] 31.0-32.0 sec   462 KBytes  3.79 Mbits/sec   0.578 ms   15/  337 (4.5%)
[  3] 32.0-33.0 sec   471 KBytes  3.86 Mbits/sec   0.554 ms   16/  344 (4.7%)
[  3] 33.0-34.0 sec   467 KBytes  3.82 Mbits/sec   0.572 ms   14/  339 (4.1%)
[  3] 34.0-35.0 sec   467 KBytes  3.82 Mbits/sec   0.564 ms   14/  339 (4.1%)
[  3] 35.0-36.0 sec   472 KBytes  3.87 Mbits/sec   0.572 ms   13/  342 (3.8%)
[  3] 36.0-37.0 sec   465 KBytes  3.81 Mbits/sec   0.576 ms   16/  340 (4.7%)
[  3] 37.0-38.0 sec   462 KBytes  3.79 Mbits/sec   0.582 ms   15/  337 (4.5%)
[  3] 38.0-39.0 sec   472 KBytes  3.87 Mbits/sec   0.793 ms   14/  343 (4.1%)
[  3] 39.0-40.0 sec   467 KBytes  3.82 Mbits/sec   0.571 ms   15/  340 (4.4%)
[  3] 40.0-41.0 sec   467 KBytes  3.82 Mbits/sec   0.560 ms   15/  340 (4.4%)
[  3] 41.0-42.0 sec   468 KBytes  3.83 Mbits/sec   0.598 ms   13/  339 (3.8%)
[  3] 42.0-43.0 sec   465 KBytes  3.81 Mbits/sec   0.579 ms   18/  342 (5.3%)
[  3] 43.0-44.0 sec   465 KBytes  3.81 Mbits/sec   0.557 ms   13/  337 (3.9%)
[  3] 44.0-45.0 sec   471 KBytes  3.86 Mbits/sec   0.604 ms   15/  343 (4.4%)
[  3] 45.0-46.0 sec   469 KBytes  3.85 Mbits/sec   0.592 ms   13/  340 (3.8%)
[  3] 46.0-47.0 sec   471 KBytes  3.86 Mbits/sec   0.576 ms   12/  340 (3.5%)
[  3] 47.0-48.0 sec   465 KBytes  3.81 Mbits/sec   0.558 ms   16/  340 (4.7%)
[  3] 48.0-49.0 sec   469 KBytes  3.85 Mbits/sec   0.585 ms   13/  340 (3.8%)
[  3] 49.0-50.0 sec   465 KBytes  3.81 Mbits/sec   0.589 ms   14/  338 (4.1%)
[  3] 50.0-51.0 sec   464 KBytes  3.80 Mbits/sec   0.585 ms   20/  343 (5.8%)
[  3] 51.0-52.0 sec   467 KBytes  3.82 Mbits/sec   0.558 ms   15/  340 (4.4%)
[  3] 52.0-53.0 sec   467 KBytes  3.82 Mbits/sec   0.593 ms   15/  340 (4.4%)
[  3] 53.0-54.0 sec   468 KBytes  3.83 Mbits/sec   0.587 ms   14/  340 (4.1%)
[  3] 54.0-55.0 sec   462 KBytes  3.79 Mbits/sec   0.566 ms   15/  337 (4.5%)
[  3] 55.0-56.0 sec   471 KBytes  3.86 Mbits/sec   0.595 ms   12/  340 (3.5%)
[  3] 56.0-57.0 sec   465 KBytes  3.81 Mbits/sec   0.584 ms   19/  343 (5.5%)
[  3] 57.0-58.0 sec   465 KBytes  3.81 Mbits/sec   0.591 ms   17/  341 (5%)
[  3] 58.0-59.0 sec   471 KBytes  3.86 Mbits/sec   0.556 ms   12/  340 (3.5%)
[  3] 59.0-60.0 sec   465 KBytes  3.81 Mbits/sec   0.756 ms   13/  337 (3.9%)
[  3] 60.0-61.0 sec   467 KBytes  3.82 Mbits/sec   0.578 ms   15/  340 (4.4%)
[  3] 61.0-62.0 sec   474 KBytes  3.88 Mbits/sec   0.583 ms   13/  343 (3.8%)
[  3] 62.0-63.0 sec   465 KBytes  3.81 Mbits/sec   0.634 ms   16/  340 (4.7%)
[  3] 63.0-64.0 sec   469 KBytes  3.85 Mbits/sec   0.553 ms   13/  340 (3.8%)
[  3] 64.0-65.0 sec   474 KBytes  3.88 Mbits/sec   0.756 ms   10/  340 (2.9%)
[  3] 65.0-66.0 sec   461 KBytes  3.77 Mbits/sec   0.589 ms   27/  348 (7.8%)
[  3] 66.0-67.0 sec   441 KBytes  3.61 Mbits/sec   0.578 ms   40/  347 (12%)
[  3] 67.0-68.0 sec   431 KBytes  3.53 Mbits/sec   0.654 ms   44/  344 (13%)
[  3] 68.0-69.0 sec   423 KBytes  3.47 Mbits/sec   0.613 ms   49/  344 (14%)
[  3] 69.0-70.0 sec   431 KBytes  3.53 Mbits/sec   0.615 ms   42/  342 (12%)
[  3] 70.0-71.0 sec   426 KBytes  3.49 Mbits/sec   0.714 ms   47/  344 (14%)
[  3] 71.0-72.0 sec   423 KBytes  3.47 Mbits/sec   0.699 ms   44/  339 (13%)
[  3] 72.0-73.0 sec   423 KBytes  3.47 Mbits/sec   0.613 ms   48/  343 (14%)
[  3] 73.0-74.0 sec   418 KBytes  3.42 Mbits/sec   0.580 ms   46/  337 (14%)
[  3] 74.0-75.0 sec   426 KBytes  3.49 Mbits/sec   0.575 ms   45/  342 (13%)
[  3] 75.0-76.0 sec   411 KBytes  3.36 Mbits/sec   0.688 ms   52/  338 (15%)
[  3] 76.0-77.0 sec   418 KBytes  3.42 Mbits/sec   0.735 ms   54/  345 (16%)
[  3] 77.0-78.0 sec   418 KBytes  3.42 Mbits/sec   0.794 ms   47/  338 (14%)
[  3] 78.0-79.0 sec   421 KBytes  3.45 Mbits/sec   0.616 ms   46/  339 (14%)
[  3] 79.0-80.0 sec   413 KBytes  3.39 Mbits/sec   0.662 ms   52/  340 (15%)
[  3] 80.0-81.0 sec   408 KBytes  3.34 Mbits/sec   0.735 ms   55/  339 (16%)
[  3] 81.0-82.0 sec   428 KBytes  3.50 Mbits/sec   0.750 ms   47/  345 (14%)
[  3] 82.0-83.0 sec   418 KBytes  3.42 Mbits/sec   0.697 ms   47/  338 (14%)
[  3] 83.0-84.0 sec   415 KBytes  3.40 Mbits/sec   0.623 ms   51/  340 (15%)
[  3] 84.0-85.0 sec   409 KBytes  3.35 Mbits/sec   0.993 ms   54/  339 (16%)
[  3] 85.0-86.0 sec   422 KBytes  3.46 Mbits/sec   0.785 ms   44/  338 (13%)
[  3] 86.0-87.0 sec   413 KBytes  3.39 Mbits/sec   0.800 ms   57/  345 (17%)
[  3] 87.0-88.0 sec   403 KBytes  3.30 Mbits/sec   0.640 ms   56/  337 (17%)
[  3] 88.0-89.0 sec   416 KBytes  3.41 Mbits/sec   0.689 ms   50/  340 (15%)
[  3] 89.0-90.0 sec   415 KBytes  3.40 Mbits/sec   0.680 ms   52/  341 (15%)
[  3] 90.0-91.0 sec   409 KBytes  3.35 Mbits/sec   0.707 ms   55/  340 (16%)
[  3] 91.0-92.0 sec   415 KBytes  3.40 Mbits/sec   0.623 ms   49/  338 (14%)
[  3] 92.0-93.0 sec   428 KBytes  3.50 Mbits/sec   0.781 ms   48/  346 (14%)
[  3] 93.0-94.0 sec   426 KBytes  3.49 Mbits/sec   0.818 ms   39/  336 (12%)
[  3] 94.0-95.0 sec   416 KBytes  3.41 Mbits/sec   0.650 ms   53/  343 (15%)
[  3] 95.0-96.0 sec   429 KBytes  3.52 Mbits/sec   0.750 ms   38/  337 (11%)
[  3] 96.0-97.0 sec   434 KBytes  3.55 Mbits/sec   0.651 ms   37/  339 (11%)
[  3] 97.0-98.0 sec   419 KBytes  3.43 Mbits/sec   0.668 ms   47/  339 (14%)
[  3] 98.0-99.0 sec   416 KBytes  3.41 Mbits/sec   0.732 ms   53/  343 (15%)
[  3] 99.0-100.0 sec   415 KBytes  3.40 Mbits/sec   0.757 ms   54/  343 (16%)
[  3] 100.0-101.0 sec   418 KBytes  3.42 Mbits/sec   0.663 ms   52/  343 (15%)
[  3] 101.0-102.0 sec   419 KBytes  3.43 Mbits/sec   0.675 ms   43/  335 (13%)
[  3] 102.0-103.0 sec   422 KBytes  3.46 Mbits/sec   0.647 ms   48/  342 (14%)
[  3] 103.0-104.0 sec   413 KBytes  3.39 Mbits/sec   0.640 ms   51/  339 (15%)
[  3] 104.0-105.0 sec   421 KBytes  3.45 Mbits/sec   0.670 ms   46/  339 (14%)
[  3] 105.0-106.0 sec   413 KBytes  3.39 Mbits/sec   0.686 ms   55/  343 (16%)
[  3] 106.0-107.0 sec   413 KBytes  3.39 Mbits/sec   0.703 ms   48/  336 (14%)
[  3] 107.0-108.0 sec   418 KBytes  3.42 Mbits/sec   0.768 ms   50/  341 (15%)
[  3] 108.0-109.0 sec   418 KBytes  3.42 Mbits/sec   0.694 ms   52/  343 (15%)
[  3] 109.0-110.0 sec   406 KBytes  3.33 Mbits/sec   0.675 ms   52/  335 (16%)
[  3] 110.0-111.0 sec   409 KBytes  3.35 Mbits/sec   0.632 ms   60/  345 (17%)
[  3] 111.0-112.0 sec   415 KBytes  3.40 Mbits/sec   0.729 ms   50/  339 (15%)
[  3] 112.0-113.0 sec   408 KBytes  3.34 Mbits/sec   0.639 ms   57/  341 (17%)
[  3] 113.0-114.0 sec   413 KBytes  3.39 Mbits/sec   0.608 ms   52/  340 (15%)
[  3] 114.0-115.0 sec   408 KBytes  3.34 Mbits/sec   0.662 ms   54/  338 (16%)
[  3] 115.0-116.0 sec   416 KBytes  3.41 Mbits/sec   0.762 ms   49/  339 (14%)
[  3] 116.0-117.0 sec   419 KBytes  3.43 Mbits/sec   0.684 ms   50/  342 (15%)
[  3] 117.0-118.0 sec   416 KBytes  3.41 Mbits/sec   0.678 ms   50/  340 (15%)
[  3] 118.0-119.0 sec   422 KBytes  3.46 Mbits/sec   0.769 ms   45/  339 (13%)
[  3] 119.0-120.0 sec   419 KBytes  3.43 Mbits/sec   1.001 ms   47/  339 (14%)
[  3] 120.0-121.0 sec   409 KBytes  3.35 Mbits/sec   0.696 ms   55/  340 (16%)
[  3] 121.0-122.0 sec   426 KBytes  3.49 Mbits/sec   0.777 ms   47/  344 (14%)
[  3] 122.0-123.0 sec   421 KBytes  3.45 Mbits/sec   0.716 ms   46/  339 (14%)
[  3] 123.0-124.0 sec   402 KBytes  3.29 Mbits/sec   0.697 ms   59/  339 (17%)
[  3] 124.0-125.0 sec   428 KBytes  3.50 Mbits/sec   0.753 ms   43/  341 (13%)
[  3] 125.0-126.0 sec   422 KBytes  3.46 Mbits/sec   0.724 ms   48/  342 (14%)
[  3] 126.0-127.0 sec   412 KBytes  3.38 Mbits/sec   0.648 ms   55/  342 (16%)
[  3] 127.0-128.0 sec   418 KBytes  3.42 Mbits/sec   0.686 ms   36/  327 (11%)
