------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.1 port 5001 connected with 10.3.0.1 port 33359
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   488 KBytes  4.00 Mbits/sec   0.008 ms    0/  340 (0%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.009 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   488 KBytes  4.00 Mbits/sec   0.008 ms    0/  340 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.007 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   488 KBytes  4.00 Mbits/sec   0.008 ms    0/  340 (0%)
[  3]  5.0- 6.0 sec   488 KBytes  4.00 Mbits/sec   0.011 ms    0/  340 (0%)
[  3]  6.0- 7.0 sec   490 KBytes  4.01 Mbits/sec   0.008 ms    0/  341 (0%)
[  3]  7.0- 8.0 sec   488 KBytes  4.00 Mbits/sec   0.007 ms    0/  340 (0%)
[  3]  8.0- 9.0 sec   488 KBytes  4.00 Mbits/sec   0.010 ms    0/  340 (0%)
[  3]  9.0-10.0 sec   488 KBytes  4.00 Mbits/sec   0.009 ms    0/  340 (0%)
[  3] 10.0-11.0 sec   487 KBytes  3.99 Mbits/sec   0.503 ms    0/  339 (0%)
[  3] 11.0-12.0 sec   490 KBytes  4.01 Mbits/sec   0.010 ms    0/  341 (0%)
[  3] 12.0-13.0 sec   488 KBytes  4.00 Mbits/sec   0.009 ms    0/  340 (0%)
[  3] 13.0-14.0 sec   490 KBytes  4.01 Mbits/sec   0.009 ms    0/  341 (0%)
[  3] 14.0-15.0 sec   488 KBytes  4.00 Mbits/sec   0.027 ms    0/  340 (0%)
[  3] 15.0-16.0 sec   488 KBytes  4.00 Mbits/sec   0.009 ms    0/  340 (0%)
[  3] 16.0-17.0 sec   488 KBytes  4.00 Mbits/sec   0.014 ms    0/  340 (0%)
[  3] 17.0-18.0 sec   488 KBytes  4.00 Mbits/sec   0.011 ms    0/  340 (0%)
[  3] 18.0-19.0 sec   398 KBytes  3.26 Mbits/sec   0.702 ms    0/  277 (0%)
[  3] 19.0-20.0 sec   395 KBytes  3.23 Mbits/sec   0.719 ms    0/  275 (0%)
[  3] 20.0-21.0 sec   396 KBytes  3.25 Mbits/sec   0.690 ms    0/  276 (0%)
[  3] 21.0-22.0 sec   396 KBytes  3.25 Mbits/sec   0.686 ms    0/  276 (0%)
[  3] 22.0-23.0 sec   395 KBytes  3.23 Mbits/sec   0.690 ms    0/  275 (0%)
[  3] 23.0-24.0 sec   392 KBytes  3.21 Mbits/sec   0.694 ms    0/  273 (0%)
