------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.4.0.1 port 52201
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   732 KBytes  6.00 Mbits/sec   0.078 ms    9/  519 (1.7%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.010 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   734 KBytes  6.01 Mbits/sec   0.004 ms    0/  511 (0%)
[  3]  3.0- 4.0 sec   732 KBytes  6.00 Mbits/sec   0.010 ms    0/  510 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.005 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.010 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   591 KBytes  4.85 Mbits/sec   0.458 ms    0/  412 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.490 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.459 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   594 KBytes  4.87 Mbits/sec   0.466 ms    0/  414 (0%)
[  3] 10.0-11.0 sec   589 KBytes  4.82 Mbits/sec   0.470 ms    0/  410 (0%)
[  3] 11.0-12.0 sec   593 KBytes  4.86 Mbits/sec   0.628 ms    0/  413 (0%)
[  3] 12.0-13.0 sec   689 KBytes  5.64 Mbits/sec   0.634 ms    0/  480 (0%)
[  3] 13.0-14.0 sec   729 KBytes  5.97 Mbits/sec   0.541 ms    2/  510 (0.39%)
[  3] 14.0-15.0 sec   722 KBytes  5.92 Mbits/sec   0.554 ms    4/  507 (0.79%)
[  3] 15.0-16.0 sec   731 KBytes  5.99 Mbits/sec   0.586 ms    0/  509 (0%)
[  3] 16.0-17.0 sec   738 KBytes  6.04 Mbits/sec   0.598 ms    1/  515 (0.19%)
[  3] 17.0-18.0 sec   726 KBytes  5.95 Mbits/sec   0.563 ms    4/  510 (0.78%)
[  3] 18.0-19.0 sec   725 KBytes  5.94 Mbits/sec   0.531 ms    5/  510 (0.98%)
[  3] 19.0-20.0 sec   726 KBytes  5.95 Mbits/sec   0.630 ms    2/  508 (0.39%)
[  3] 20.0-21.0 sec   734 KBytes  6.01 Mbits/sec   0.578 ms    2/  513 (0.39%)
[  3] 21.0-22.0 sec   726 KBytes  5.95 Mbits/sec   0.573 ms    3/  509 (0.59%)
[  3] 22.0-23.0 sec   729 KBytes  5.97 Mbits/sec   0.550 ms    3/  511 (0.59%)
[  3] 23.0-24.0 sec   728 KBytes  5.96 Mbits/sec   0.585 ms    3/  510 (0.59%)
