------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.2 port 5001 connected with 10.6.0.1 port 38155
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   612 KBytes  5.01 Mbits/sec   0.012 ms    7/  433 (1.6%)
[  3]  1.0- 2.0 sec   610 KBytes  5.00 Mbits/sec   0.014 ms    0/  425 (0%)
[  3]  2.0- 3.0 sec   610 KBytes  5.00 Mbits/sec   0.014 ms    0/  425 (0%)
[  3]  3.0- 4.0 sec   610 KBytes  5.00 Mbits/sec   0.014 ms    0/  425 (0%)
[  3]  4.0- 5.0 sec   612 KBytes  5.01 Mbits/sec   0.011 ms    0/  426 (0%)
[  3]  5.0- 6.0 sec   610 KBytes  5.00 Mbits/sec   0.010 ms    0/  425 (0%)
[  3]  6.0- 7.0 sec   610 KBytes  5.00 Mbits/sec   0.011 ms    0/  425 (0%)
[  3]  7.0- 8.0 sec   610 KBytes  5.00 Mbits/sec   0.008 ms    0/  425 (0%)
[  3]  8.0- 9.0 sec   610 KBytes  5.00 Mbits/sec   0.009 ms    0/  425 (0%)
[  3]  9.0-10.0 sec   610 KBytes  5.00 Mbits/sec   0.011 ms    0/  425 (0%)
[  3] 10.0-11.0 sec   612 KBytes  5.01 Mbits/sec   0.014 ms    0/  426 (0%)
[  3] 11.0-12.0 sec   610 KBytes  5.00 Mbits/sec   0.010 ms    0/  425 (0%)
[  3] 12.0-13.0 sec   610 KBytes  5.00 Mbits/sec   0.011 ms    0/  425 (0%)
[  3] 13.0-14.0 sec   610 KBytes  5.00 Mbits/sec   0.008 ms    0/  425 (0%)
[  3] 14.0-15.0 sec   610 KBytes  5.00 Mbits/sec   0.008 ms    0/  425 (0%)
[  3] 15.0-16.0 sec   610 KBytes  5.00 Mbits/sec   0.012 ms    0/  425 (0%)
[  3] 16.0-17.0 sec   590 KBytes  4.83 Mbits/sec   0.107 ms    0/  411 (0%)
[  3] 17.0-18.0 sec   593 KBytes  4.86 Mbits/sec   0.086 ms    0/  413 (0%)
[  3] 18.0-19.0 sec   593 KBytes  4.86 Mbits/sec   0.071 ms    0/  413 (0%)
[  3] 19.0-20.0 sec   594 KBytes  4.87 Mbits/sec   0.178 ms    0/  414 (0%)
[  3] 20.0-21.0 sec   593 KBytes  4.86 Mbits/sec   0.097 ms    0/  413 (0%)
[  3] 21.0-22.0 sec   589 KBytes  4.82 Mbits/sec   0.084 ms    0/  410 (0%)
[  3] 22.0-23.0 sec   593 KBytes  4.86 Mbits/sec   0.269 ms    0/  413 (0%)
[  3] 23.0-24.0 sec   593 KBytes  4.86 Mbits/sec   0.169 ms    0/  413 (0%)
[  3] 24.0-25.0 sec   593 KBytes  4.86 Mbits/sec   0.115 ms    0/  413 (0%)
[  3] 25.0-26.0 sec   593 KBytes  4.86 Mbits/sec   0.072 ms    0/  413 (0%)
[  3] 26.0-27.0 sec   593 KBytes  4.86 Mbits/sec   0.098 ms    0/  413 (0%)
[  3] 27.0-28.0 sec   593 KBytes  4.86 Mbits/sec   0.144 ms    0/  413 (0%)
[  3] 28.0-29.0 sec   589 KBytes  4.82 Mbits/sec   0.620 ms    0/  410 (0%)
[  3] 29.0-30.0 sec   593 KBytes  4.86 Mbits/sec   0.184 ms    0/  413 (0%)
[  3] 30.0-31.0 sec   593 KBytes  4.86 Mbits/sec   0.202 ms    0/  413 (0%)
[  3] 31.0-32.0 sec   593 KBytes  4.86 Mbits/sec   0.242 ms    0/  413 (0%)
[  3] 32.0-33.0 sec   589 KBytes  4.82 Mbits/sec   0.089 ms    0/  410 (0%)
[  3] 33.0-34.0 sec   593 KBytes  4.86 Mbits/sec   0.077 ms    0/  413 (0%)
[  3] 34.0-35.0 sec   594 KBytes  4.87 Mbits/sec   0.119 ms    0/  414 (0%)
[  3] 35.0-36.0 sec   593 KBytes  4.86 Mbits/sec   0.074 ms    0/  413 (0%)
[  3] 36.0-37.0 sec   587 KBytes  4.81 Mbits/sec   0.282 ms    0/  409 (0%)
[  3] 37.0-38.0 sec   594 KBytes  4.87 Mbits/sec   0.069 ms    0/  414 (0%)
[  3] 38.0-39.0 sec   593 KBytes  4.86 Mbits/sec   0.119 ms    0/  413 (0%)
[  3] 39.0-40.0 sec   593 KBytes  4.86 Mbits/sec   0.163 ms    0/  413 (0%)
[  3] 40.0-41.0 sec   593 KBytes  4.86 Mbits/sec   0.082 ms    0/  413 (0%)
[  3] 41.0-42.0 sec   593 KBytes  4.86 Mbits/sec   0.161 ms    0/  413 (0%)
[  3] 42.0-43.0 sec   593 KBytes  4.86 Mbits/sec   0.114 ms    0/  413 (0%)
[  3] 43.0-44.0 sec   593 KBytes  4.86 Mbits/sec   0.093 ms    0/  413 (0%)
[  3] 44.0-45.0 sec   593 KBytes  4.86 Mbits/sec   0.134 ms    0/  413 (0%)
[  3] 45.0-46.0 sec   593 KBytes  4.86 Mbits/sec   0.120 ms    0/  413 (0%)
[  3] 46.0-47.0 sec   590 KBytes  4.83 Mbits/sec   0.074 ms    0/  411 (0%)
[  3] 47.0-48.0 sec   593 KBytes  4.86 Mbits/sec   0.110 ms    0/  413 (0%)
[  3] 48.0-49.0 sec   593 KBytes  4.86 Mbits/sec   0.078 ms    0/  413 (0%)
[  3] 49.0-50.0 sec   593 KBytes  4.86 Mbits/sec   0.151 ms    0/  413 (0%)
[  3] 50.0-51.0 sec   593 KBytes  4.86 Mbits/sec   0.079 ms    0/  413 (0%)
[  3] 51.0-52.0 sec   593 KBytes  4.86 Mbits/sec   0.093 ms    0/  413 (0%)
[  3] 52.0-53.0 sec   589 KBytes  4.82 Mbits/sec   0.136 ms    0/  410 (0%)
[  3] 53.0-54.0 sec   593 KBytes  4.86 Mbits/sec   0.073 ms    0/  413 (0%)
[  3] 54.0-55.0 sec   593 KBytes  4.86 Mbits/sec   0.219 ms    0/  413 (0%)
[  3] 55.0-56.0 sec   593 KBytes  4.86 Mbits/sec   0.125 ms    0/  413 (0%)
[  3] 56.0-57.0 sec   637 KBytes  5.22 Mbits/sec   0.114 ms    0/  444 (0%)
[  3] 57.0-58.0 sec   593 KBytes  4.86 Mbits/sec   0.073 ms    0/  413 (0%)
[  3] 58.0-59.0 sec   591 KBytes  4.85 Mbits/sec   0.211 ms    3/  415 (0.72%)
[  3] 59.0-60.0 sec   574 KBytes  4.70 Mbits/sec   0.139 ms   19/  419 (4.5%)
[  3] 60.0-61.0 sec   586 KBytes  4.80 Mbits/sec   0.145 ms   20/  428 (4.7%)
[  3] 61.0-62.0 sec   577 KBytes  4.73 Mbits/sec   0.188 ms   24/  426 (5.6%)
[  3] 62.0-63.0 sec   580 KBytes  4.75 Mbits/sec   0.274 ms   21/  425 (4.9%)
[  3] 63.0-64.0 sec   576 KBytes  4.72 Mbits/sec   0.121 ms   24/  425 (5.6%)
[  3] 64.0-65.0 sec   574 KBytes  4.70 Mbits/sec   0.139 ms   25/  425 (5.9%)
[  3] 65.0-66.0 sec   580 KBytes  4.75 Mbits/sec   0.214 ms   21/  425 (4.9%)
[  3] 66.0-67.0 sec   580 KBytes  4.75 Mbits/sec   0.112 ms   22/  426 (5.2%)
[  3] 67.0-68.0 sec   579 KBytes  4.74 Mbits/sec   0.240 ms   23/  426 (5.4%)
[  3] 68.0-69.0 sec   577 KBytes  4.73 Mbits/sec   0.161 ms   23/  425 (5.4%)
[  3] 69.0-70.0 sec   580 KBytes  4.75 Mbits/sec   0.171 ms   21/  425 (4.9%)
[  3] 70.0-71.0 sec   579 KBytes  4.74 Mbits/sec   0.238 ms   23/  426 (5.4%)
[  3] 71.0-72.0 sec   577 KBytes  4.73 Mbits/sec   0.171 ms   23/  425 (5.4%)
[  3] 72.0-73.0 sec   579 KBytes  4.74 Mbits/sec   0.202 ms   22/  425 (5.2%)
[  3] 73.0-74.0 sec   581 KBytes  4.76 Mbits/sec   0.118 ms   18/  423 (4.3%)
[  3] 74.0-75.0 sec   579 KBytes  4.74 Mbits/sec   0.144 ms   23/  426 (5.4%)
[  3] 75.0-76.0 sec   577 KBytes  4.73 Mbits/sec   0.250 ms   23/  425 (5.4%)
[  3] 76.0-77.0 sec   577 KBytes  4.73 Mbits/sec   0.145 ms   23/  425 (5.4%)
[  3] 77.0-78.0 sec   576 KBytes  4.72 Mbits/sec   0.199 ms   25/  426 (5.9%)
[  3] 78.0-79.0 sec   577 KBytes  4.73 Mbits/sec   0.172 ms   22/  424 (5.2%)
[  3] 79.0-80.0 sec   579 KBytes  4.74 Mbits/sec   0.160 ms   22/  425 (5.2%)
[  3] 80.0-81.0 sec   577 KBytes  4.73 Mbits/sec   0.148 ms   24/  426 (5.6%)
[  3] 81.0-82.0 sec   573 KBytes  4.69 Mbits/sec   0.269 ms   22/  421 (5.2%)
[  3] 82.0-83.0 sec   583 KBytes  4.77 Mbits/sec   0.217 ms   24/  430 (5.6%)
[  3] 83.0-84.0 sec   580 KBytes  4.75 Mbits/sec   0.216 ms   20/  424 (4.7%)
[  3] 84.0-85.0 sec   574 KBytes  4.70 Mbits/sec   0.166 ms   23/  423 (5.4%)
[  3] 85.0-86.0 sec   579 KBytes  4.74 Mbits/sec   0.137 ms   20/  423 (4.7%)
[  3] 86.0-87.0 sec   581 KBytes  4.76 Mbits/sec   0.142 ms   22/  427 (5.2%)
[  3] 87.0-88.0 sec   577 KBytes  4.73 Mbits/sec   0.172 ms   23/  425 (5.4%)
[  3]  0.0-88.3 sec  51.0 MBytes  4.84 Mbits/sec   0.283 ms  662/37050 (1.8%)
