------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.2 port 5001 connected with 10.3.0.1 port 39918
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   734 KBytes  6.01 Mbits/sec   0.023 ms    0/  511 (0%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.013 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.012 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   732 KBytes  6.00 Mbits/sec   0.015 ms    0/  510 (0%)
[  3]  4.0- 5.0 sec   734 KBytes  6.01 Mbits/sec   0.019 ms    0/  511 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.017 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec   0.457 ms    0/  414 (0%)
[  3]  7.0- 8.0 sec   587 KBytes  4.81 Mbits/sec   0.465 ms    0/  409 (0%)
[  3]  8.0- 9.0 sec   593 KBytes  4.86 Mbits/sec   0.461 ms    0/  413 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.457 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   594 KBytes  4.87 Mbits/sec   0.472 ms    0/  414 (0%)
[  3] 11.0-12.0 sec   593 KBytes  4.86 Mbits/sec   0.457 ms    0/  413 (0%)
[  3] 12.0-13.0 sec   623 KBytes  5.10 Mbits/sec   0.529 ms   38/  472 (8.1%)
[  3] 13.0-14.0 sec   626 KBytes  5.13 Mbits/sec   0.521 ms   81/  517 (16%)
[  3] 14.0-15.0 sec   636 KBytes  5.21 Mbits/sec   0.492 ms   66/  509 (13%)
[  3] 15.0-16.0 sec   649 KBytes  5.32 Mbits/sec   0.494 ms   59/  511 (12%)
[  3] 16.0-17.0 sec   649 KBytes  5.32 Mbits/sec   0.515 ms   58/  510 (11%)
[  3] 17.0-18.0 sec   640 KBytes  5.24 Mbits/sec   0.510 ms   59/  505 (12%)
[  3] 18.0-19.0 sec   629 KBytes  5.15 Mbits/sec   0.567 ms   77/  515 (15%)
[  3] 19.0-20.0 sec   643 KBytes  5.27 Mbits/sec   0.514 ms   63/  511 (12%)
[  3] 20.0-21.0 sec   646 KBytes  5.29 Mbits/sec   0.507 ms   60/  510 (12%)
[  3] 21.0-22.0 sec   640 KBytes  5.24 Mbits/sec   0.500 ms   64/  510 (13%)
[  3] 22.0-23.0 sec   640 KBytes  5.24 Mbits/sec   0.653 ms   63/  509 (12%)
[  3] 23.0-24.0 sec   633 KBytes  5.19 Mbits/sec   0.586 ms   64/  505 (13%)
