------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.2 port 5001 connected with 10.1.0.1 port 45644
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   854 KBytes  7.00 Mbits/sec   0.005 ms    0/  595 (0%)
[  3]  1.0- 2.0 sec   854 KBytes  7.00 Mbits/sec   0.032 ms    0/  595 (0%)
[  3]  2.0- 3.0 sec   856 KBytes  7.01 Mbits/sec   0.008 ms    0/  596 (0%)
[  3]  3.0- 4.0 sec   854 KBytes  7.00 Mbits/sec   0.007 ms    0/  595 (0%)
[  3]  4.0- 5.0 sec   854 KBytes  7.00 Mbits/sec   0.011 ms    0/  595 (0%)
[  3]  5.0- 6.0 sec   854 KBytes  7.00 Mbits/sec   0.016 ms    0/  595 (0%)
[  3]  6.0- 7.0 sec   856 KBytes  7.01 Mbits/sec   0.007 ms    0/  596 (0%)
[  3]  7.0- 8.0 sec   854 KBytes  7.00 Mbits/sec   0.011 ms    0/  595 (0%)
[  3]  8.0- 9.0 sec   854 KBytes  7.00 Mbits/sec   0.009 ms    0/  595 (0%)
[  3]  9.0-10.0 sec   854 KBytes  7.00 Mbits/sec   0.007 ms    0/  595 (0%)
[  3] 10.0-11.0 sec   854 KBytes  7.00 Mbits/sec   0.007 ms    0/  595 (0%)
[  3] 11.0-12.0 sec   856 KBytes  7.01 Mbits/sec   0.010 ms    0/  596 (0%)
[  3] 12.0-13.0 sec   597 KBytes  4.89 Mbits/sec   0.743 ms    0/  416 (0%)
[  3] 13.0-14.0 sec   593 KBytes  4.86 Mbits/sec   0.783 ms    0/  413 (0%)
[  3] 14.0-15.0 sec   593 KBytes  4.86 Mbits/sec   0.744 ms    0/  413 (0%)
[  3] 15.0-16.0 sec   584 KBytes  4.79 Mbits/sec   0.620 ms    6/  413 (1.5%)
[  3] 16.0-17.0 sec   355 KBytes  2.90 Mbits/sec   0.241 ms  353/  600 (59%)
[  3] 17.0-18.0 sec   332 KBytes  2.72 Mbits/sec   0.232 ms  363/  594 (61%)
[  3] 18.0-19.0 sec   336 KBytes  2.75 Mbits/sec   0.235 ms  363/  597 (61%)
[  3] 19.0-20.0 sec   336 KBytes  2.75 Mbits/sec   0.241 ms  357/  591 (60%)
[  3] 20.0-21.0 sec   350 KBytes  2.87 Mbits/sec   0.245 ms  354/  598 (59%)
[  3] 21.0-22.0 sec   339 KBytes  2.78 Mbits/sec   0.229 ms  361/  597 (60%)
[  3] 22.0-23.0 sec   334 KBytes  2.74 Mbits/sec   0.235 ms  361/  594 (61%)
[  3] 23.0-24.0 sec   330 KBytes  2.70 Mbits/sec   0.246 ms  361/  591 (61%)
[  3] 24.0-25.0 sec   346 KBytes  2.83 Mbits/sec   0.902 ms  349/  590 (59%)
[  3] 25.0-26.0 sec   333 KBytes  2.73 Mbits/sec   1.266 ms  362/  594 (61%)
[  3] 26.0-27.0 sec   336 KBytes  2.75 Mbits/sec   1.294 ms  360/  594 (61%)
[  3] 27.0-28.0 sec   333 KBytes  2.73 Mbits/sec   1.213 ms  365/  597 (61%)
[  3] 28.0-29.0 sec   329 KBytes  2.69 Mbits/sec   0.247 ms  354/  583 (61%)
[  3] 29.0-30.0 sec   329 KBytes  2.69 Mbits/sec   1.278 ms  375/  604 (62%)
[  3] 30.0-31.0 sec   333 KBytes  2.73 Mbits/sec   1.295 ms  365/  597 (61%)
[  3] 31.0-32.0 sec   352 KBytes  2.88 Mbits/sec   0.238 ms  364/  609 (60%)
[  3] 32.0-33.0 sec   333 KBytes  2.73 Mbits/sec   0.248 ms  363/  595 (61%)
[  3] 33.0-34.0 sec   333 KBytes  2.73 Mbits/sec   0.235 ms  356/  588 (61%)
[  3] 34.0-35.0 sec   333 KBytes  2.73 Mbits/sec   0.220 ms  369/  601 (61%)
[  3] 35.0-36.0 sec   336 KBytes  2.75 Mbits/sec   0.775 ms  360/  594 (61%)
[  3] 36.0-37.0 sec   334 KBytes  2.74 Mbits/sec   0.240 ms  364/  597 (61%)
[  3] 37.0-38.0 sec   337 KBytes  2.76 Mbits/sec   0.198 ms  361/  596 (61%)
[  3] 38.0-39.0 sec   339 KBytes  2.78 Mbits/sec   0.221 ms  358/  594 (60%)
[  3] 39.0-40.0 sec   332 KBytes  2.72 Mbits/sec   0.248 ms  361/  592 (61%)
[  3] 40.0-41.0 sec   330 KBytes  2.70 Mbits/sec   0.494 ms  370/  600 (62%)
[  3] 41.0-42.0 sec   334 KBytes  2.74 Mbits/sec   0.237 ms  361/  594 (61%)
[  3] 42.0-43.0 sec   336 KBytes  2.75 Mbits/sec   1.122 ms  357/  591 (60%)
[  3] 43.0-44.0 sec   340 KBytes  2.79 Mbits/sec   0.233 ms  362/  599 (60%)
[  3] 44.0-45.0 sec   334 KBytes  2.74 Mbits/sec   0.253 ms  364/  597 (61%)
[  3] 45.0-46.0 sec   333 KBytes  2.73 Mbits/sec   0.879 ms  357/  589 (61%)
[  3] 46.0-47.0 sec   339 KBytes  2.78 Mbits/sec   0.291 ms  360/  596 (60%)
[  3] 47.0-48.0 sec   353 KBytes  2.89 Mbits/sec   0.253 ms  355/  601 (59%)
[  3] 48.0-49.0 sec   336 KBytes  2.75 Mbits/sec   0.253 ms  360/  594 (61%)
[  3] 49.0-50.0 sec   334 KBytes  2.74 Mbits/sec   0.239 ms  363/  596 (61%)
