------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.1 port 5001 connected with 10.4.0.1 port 34809
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   490 KBytes  4.01 Mbits/sec   0.014 ms    5/  346 (1.4%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.013 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   488 KBytes  4.00 Mbits/sec   0.017 ms    0/  340 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.013 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   488 KBytes  4.00 Mbits/sec   0.015 ms    0/  340 (0%)
[  3]  5.0- 6.0 sec   488 KBytes  4.00 Mbits/sec   0.014 ms    0/  340 (0%)
[  3]  6.0- 7.0 sec   396 KBytes  3.25 Mbits/sec   0.689 ms    0/  276 (0%)
[  3]  7.0- 8.0 sec   396 KBytes  3.25 Mbits/sec   0.690 ms    0/  276 (0%)
[  3]  8.0- 9.0 sec   392 KBytes  3.21 Mbits/sec   0.690 ms    0/  273 (0%)
[  3]  9.0-10.0 sec   395 KBytes  3.23 Mbits/sec   0.690 ms    0/  275 (0%)
[  3] 10.0-11.0 sec   396 KBytes  3.25 Mbits/sec   0.691 ms    0/  276 (0%)
[  3] 11.0-12.0 sec   395 KBytes  3.23 Mbits/sec   0.689 ms    0/  275 (0%)
[  3] 12.0-13.0 sec   355 KBytes  2.90 Mbits/sec   0.404 ms   69/  316 (22%)
[  3] 13.0-14.0 sec   330 KBytes  2.70 Mbits/sec   0.821 ms  109/  339 (32%)
[  3] 14.0-15.0 sec   324 KBytes  2.66 Mbits/sec   0.411 ms  119/  345 (34%)
[  3] 15.0-16.0 sec   334 KBytes  2.74 Mbits/sec   0.429 ms  106/  339 (31%)
[  3] 16.0-17.0 sec   337 KBytes  2.76 Mbits/sec   0.392 ms  104/  339 (31%)
[  3] 17.0-18.0 sec   327 KBytes  2.68 Mbits/sec   0.364 ms  109/  337 (32%)
[  3] 18.0-19.0 sec   320 KBytes  2.62 Mbits/sec   0.405 ms  122/  345 (35%)
[  3] 19.0-20.0 sec   339 KBytes  2.78 Mbits/sec   0.476 ms  104/  340 (31%)
[  3] 20.0-21.0 sec   337 KBytes  2.76 Mbits/sec   0.460 ms  105/  340 (31%)
[  3] 21.0-22.0 sec   339 KBytes  2.78 Mbits/sec   0.442 ms  103/  339 (30%)
[  3] 22.0-23.0 sec   340 KBytes  2.79 Mbits/sec   0.461 ms  100/  337 (30%)
[  3] 23.0-24.0 sec   319 KBytes  2.61 Mbits/sec   0.427 ms  122/  344 (35%)
[  3] 24.0-25.0 sec   333 KBytes  2.73 Mbits/sec   0.366 ms  109/  341 (32%)
[  3] 25.0-26.0 sec   332 KBytes  2.72 Mbits/sec   0.361 ms  109/  340 (32%)
[  3] 26.0-27.0 sec   332 KBytes  2.72 Mbits/sec   0.373 ms  108/  339 (32%)
[  3] 27.0-28.0 sec   336 KBytes  2.75 Mbits/sec   0.460 ms  107/  341 (31%)
[  3] 28.0-29.0 sec   329 KBytes  2.69 Mbits/sec   0.470 ms  108/  337 (32%)
[  3] 29.0-30.0 sec   324 KBytes  2.66 Mbits/sec   0.918 ms  103/  329 (31%)
[  3] 30.0-31.0 sec   339 KBytes  2.78 Mbits/sec   0.322 ms  119/  355 (34%)
[  3] 31.0-32.0 sec   340 KBytes  2.79 Mbits/sec   0.372 ms  102/  339 (30%)
[  3] 32.0-33.0 sec   342 KBytes  2.80 Mbits/sec   0.429 ms  103/  341 (30%)
[  3] 33.0-34.0 sec   343 KBytes  2.81 Mbits/sec   0.405 ms  100/  339 (29%)
[  3] 34.0-35.0 sec   339 KBytes  2.78 Mbits/sec   0.429 ms  101/  337 (30%)
[  3] 35.0-36.0 sec   336 KBytes  2.75 Mbits/sec   0.385 ms  107/  341 (31%)
[  3] 36.0-37.0 sec   342 KBytes  2.80 Mbits/sec   0.379 ms  104/  342 (30%)
[  3] 37.0-38.0 sec   340 KBytes  2.79 Mbits/sec   0.408 ms  105/  342 (31%)
[  3] 38.0-39.0 sec   343 KBytes  2.81 Mbits/sec   0.426 ms  101/  340 (30%)
[  3] 39.0-40.0 sec   332 KBytes  2.72 Mbits/sec   0.445 ms  109/  340 (32%)
[  3] 40.0-41.0 sec   333 KBytes  2.73 Mbits/sec   0.888 ms  105/  337 (31%)
[  3] 41.0-42.0 sec   330 KBytes  2.70 Mbits/sec   0.409 ms  109/  339 (32%)
