------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.2 port 5001 connected with 10.3.0.2 port 58580
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   488 KBytes  4.00 Mbits/sec   0.030 ms    0/  340 (0%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.011 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   488 KBytes  4.00 Mbits/sec   0.040 ms    0/  340 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.013 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   488 KBytes  4.00 Mbits/sec   0.013 ms    0/  340 (0%)
[  3]  5.0- 6.0 sec   488 KBytes  4.00 Mbits/sec   0.010 ms    0/  340 (0%)
[  3]  6.0- 7.0 sec   396 KBytes  3.25 Mbits/sec   0.690 ms    0/  276 (0%)
[  3]  7.0- 8.0 sec   396 KBytes  3.25 Mbits/sec   0.689 ms    0/  276 (0%)
[  3]  8.0- 9.0 sec   395 KBytes  3.23 Mbits/sec   0.744 ms    0/  275 (0%)
[  3]  9.0-10.0 sec   396 KBytes  3.25 Mbits/sec   0.717 ms    0/  276 (0%)
[  3] 10.0-11.0 sec   396 KBytes  3.25 Mbits/sec   0.693 ms    0/  276 (0%)
[  3] 11.0-12.0 sec   395 KBytes  3.23 Mbits/sec   0.689 ms    0/  275 (0%)
[  3] 12.0-13.0 sec   454 KBytes  3.72 Mbits/sec   0.595 ms    0/  316 (0%)
[  3] 13.0-14.0 sec   487 KBytes  3.99 Mbits/sec   0.589 ms    1/  340 (0.29%)
[  3] 14.0-15.0 sec   488 KBytes  4.00 Mbits/sec   0.588 ms    0/  340 (0%)
[  3] 15.0-16.0 sec   488 KBytes  4.00 Mbits/sec   0.590 ms    1/  341 (0.29%)
[  3] 16.0-17.0 sec   481 KBytes  3.94 Mbits/sec   0.590 ms    1/  336 (0.3%)
[  3] 17.0-18.0 sec   490 KBytes  4.01 Mbits/sec   0.616 ms    3/  344 (0.87%)
[  3] 18.0-19.0 sec   484 KBytes  3.96 Mbits/sec   0.597 ms    3/  340 (0.88%)
[  3] 19.0-20.0 sec   488 KBytes  4.00 Mbits/sec   0.610 ms    0/  340 (0%)
[  3] 20.0-21.0 sec   488 KBytes  4.00 Mbits/sec   0.571 ms    1/  341 (0.29%)
[  3] 21.0-22.0 sec   482 KBytes  3.95 Mbits/sec   0.613 ms    0/  336 (0%)
[  3] 22.0-23.0 sec   490 KBytes  4.01 Mbits/sec   0.876 ms    3/  344 (0.87%)
[  3] 23.0-24.0 sec   487 KBytes  3.99 Mbits/sec   0.600 ms    1/  340 (0.29%)
[  3] 24.0-25.0 sec   487 KBytes  3.99 Mbits/sec   0.589 ms    1/  340 (0.29%)
[  3] 25.0-26.0 sec   482 KBytes  3.95 Mbits/sec   0.566 ms    0/  336 (0%)
[  3] 26.0-27.0 sec   491 KBytes  4.02 Mbits/sec   0.604 ms    2/  344 (0.58%)
[  3] 27.0-28.0 sec   488 KBytes  4.00 Mbits/sec   0.624 ms    0/  340 (0%)
[  3] 28.0-29.0 sec   484 KBytes  3.96 Mbits/sec   1.018 ms    0/  337 (0%)
[  3] 29.0-30.0 sec   488 KBytes  4.00 Mbits/sec   0.617 ms    0/  340 (0%)
[  3] 30.0-31.0 sec   491 KBytes  4.02 Mbits/sec   0.583 ms    2/  344 (0.58%)
[  3] 31.0-32.0 sec   488 KBytes  4.00 Mbits/sec   0.586 ms    0/  340 (0%)
[  3] 32.0-33.0 sec   487 KBytes  3.99 Mbits/sec   0.581 ms    0/  339 (0%)
[  3] 33.0-34.0 sec   484 KBytes  3.96 Mbits/sec   0.584 ms    0/  337 (0%)
