------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.1.0.1 port 5001 connected with 10.6.0.2 port 51142
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 56.0-57.0 sec   701 KBytes  5.74 Mbits/sec   0.605 ms   17/  505 (3.4%)
[  3] 57.0-58.0 sec   696 KBytes  5.70 Mbits/sec   0.601 ms   25/  510 (4.9%)
[  3] 58.0-59.0 sec   716 KBytes  5.87 Mbits/sec   0.638 ms   15/  514 (2.9%)
[  3] 59.0-60.0 sec   709 KBytes  5.81 Mbits/sec   0.585 ms   17/  511 (3.3%)
[  3] 60.0-61.0 sec   708 KBytes  5.80 Mbits/sec   0.641 ms   17/  510 (3.3%)
[  3] 61.0-62.0 sec   693 KBytes  5.68 Mbits/sec   0.541 ms   26/  509 (5.1%)
[  3] 62.0-63.0 sec   703 KBytes  5.76 Mbits/sec   0.731 ms   21/  511 (4.1%)
[  3] 63.0-64.0 sec   696 KBytes  5.70 Mbits/sec   0.616 ms   26/  511 (5.1%)
[  3] 64.0-65.0 sec   695 KBytes  5.69 Mbits/sec   0.577 ms   26/  510 (5.1%)
[  3] 65.0-66.0 sec   705 KBytes  5.77 Mbits/sec   0.669 ms   16/  507 (3.2%)
[  3] 66.0-67.0 sec   706 KBytes  5.79 Mbits/sec   0.518 ms   21/  513 (4.1%)
[  3] 67.0-68.0 sec   701 KBytes  5.74 Mbits/sec   0.561 ms   23/  511 (4.5%)
[  3] 68.0-69.0 sec   705 KBytes  5.77 Mbits/sec   0.620 ms   19/  510 (3.7%)
[  3] 69.0-70.0 sec   695 KBytes  5.69 Mbits/sec   0.579 ms   22/  506 (4.3%)
[  3] 70.0-71.0 sec   695 KBytes  5.69 Mbits/sec   0.638 ms   30/  514 (5.8%)
[  3] 71.0-72.0 sec   711 KBytes  5.82 Mbits/sec   0.764 ms   16/  511 (3.1%)
[  3] 72.0-73.0 sec   696 KBytes  5.70 Mbits/sec   0.648 ms   24/  509 (4.7%)
[  3] 73.0-74.0 sec   693 KBytes  5.68 Mbits/sec   0.652 ms   25/  508 (4.9%)
