------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.3.0.2 port 43532
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   488 KBytes  4.00 Mbits/sec   0.008 ms    0/  340 (0%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.014 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   488 KBytes  4.00 Mbits/sec   0.087 ms    0/  340 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.015 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   488 KBytes  4.00 Mbits/sec   0.026 ms    0/  340 (0%)
[  3]  5.0- 6.0 sec   490 KBytes  4.01 Mbits/sec   0.012 ms    0/  341 (0%)
[  3]  6.0- 7.0 sec   396 KBytes  3.25 Mbits/sec   0.689 ms    0/  276 (0%)
[  3]  7.0- 8.0 sec   395 KBytes  3.23 Mbits/sec   0.688 ms    0/  275 (0%)
[  3]  8.0- 9.0 sec   393 KBytes  3.22 Mbits/sec   0.737 ms    0/  274 (0%)
[  3]  9.0-10.0 sec   395 KBytes  3.23 Mbits/sec   0.687 ms    0/  275 (0%)
[  3] 10.0-11.0 sec   396 KBytes  3.25 Mbits/sec   0.690 ms    0/  276 (0%)
[  3] 11.0-12.0 sec   395 KBytes  3.23 Mbits/sec   0.684 ms    0/  275 (0%)
[  3] 12.0-13.0 sec   457 KBytes  3.74 Mbits/sec   0.582 ms    1/  319 (0.31%)
[  3] 13.0-14.0 sec   487 KBytes  3.99 Mbits/sec   0.607 ms    0/  339 (0%)
[  3] 14.0-15.0 sec   487 KBytes  3.99 Mbits/sec   0.761 ms    0/  339 (0%)
[  3] 15.0-16.0 sec   488 KBytes  4.00 Mbits/sec   0.574 ms    2/  342 (0.58%)
[  3] 16.0-17.0 sec   487 KBytes  3.99 Mbits/sec   0.561 ms    1/  340 (0.29%)
[  3] 17.0-18.0 sec   488 KBytes  4.00 Mbits/sec   0.603 ms    0/  340 (0%)
[  3] 18.0-19.0 sec   488 KBytes  4.00 Mbits/sec   0.603 ms    0/  340 (0%)
[  3] 19.0-20.0 sec   482 KBytes  3.95 Mbits/sec   0.991 ms    1/  337 (0.3%)
[  3] 20.0-21.0 sec   490 KBytes  4.01 Mbits/sec   0.591 ms    0/  341 (0%)
[  3] 21.0-22.0 sec   492 KBytes  4.03 Mbits/sec   0.587 ms    0/  343 (0%)
[  3] 22.0-23.0 sec   485 KBytes  3.97 Mbits/sec   0.596 ms    2/  340 (0.59%)
[  3] 23.0-24.0 sec   487 KBytes  3.99 Mbits/sec   0.546 ms    1/  340 (0.29%)
[  3] 24.0-25.0 sec   488 KBytes  4.00 Mbits/sec   0.602 ms    0/  340 (0%)
[  3] 25.0-26.0 sec   485 KBytes  3.97 Mbits/sec   0.600 ms    0/  338 (0%)
[  3] 26.0-27.0 sec   487 KBytes  3.99 Mbits/sec   0.593 ms    3/  342 (0.88%)
[  3] 27.0-28.0 sec   488 KBytes  4.00 Mbits/sec   0.575 ms    0/  340 (0%)
[  3] 28.0-29.0 sec   485 KBytes  3.97 Mbits/sec   0.615 ms    1/  339 (0.29%)
[  3] 29.0-30.0 sec   490 KBytes  4.01 Mbits/sec   0.677 ms    1/  342 (0.29%)
[  3] 30.0-31.0 sec   487 KBytes  3.99 Mbits/sec   0.597 ms    1/  340 (0.29%)
[  3] 31.0-32.0 sec   488 KBytes  4.00 Mbits/sec   0.560 ms    0/  340 (0%)
[  3] 32.0-33.0 sec   484 KBytes  3.96 Mbits/sec   0.575 ms    0/  337 (0%)
[  3] 33.0-34.0 sec   491 KBytes  4.02 Mbits/sec   0.607 ms    1/  343 (0.29%)
[  3] 34.0-35.0 sec   488 KBytes  4.00 Mbits/sec   0.854 ms    0/  340 (0%)
[  3] 35.0-36.0 sec   487 KBytes  3.99 Mbits/sec   0.577 ms    1/  340 (0.29%)
[  3] 36.0-37.0 sec   485 KBytes  3.97 Mbits/sec   0.588 ms    0/  338 (0%)
[  3] 37.0-38.0 sec   491 KBytes  4.02 Mbits/sec   0.577 ms    1/  343 (0.29%)
[  3] 38.0-39.0 sec   487 KBytes  3.99 Mbits/sec   0.575 ms    1/  340 (0.29%)
