------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.2 port 5001 connected with 10.2.0.1 port 49865
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   366 KBytes  3.00 Mbits/sec   0.047 ms    0/  255 (0%)
[  3]  1.0- 2.0 sec   366 KBytes  3.00 Mbits/sec   0.013 ms    0/  255 (0%)
[  3]  2.0- 3.0 sec   366 KBytes  3.00 Mbits/sec   0.014 ms    0/  255 (0%)
[  3]  3.0- 4.0 sec   366 KBytes  3.00 Mbits/sec   0.013 ms    0/  255 (0%)
[  3]  4.0- 5.0 sec   366 KBytes  3.00 Mbits/sec   0.018 ms    0/  255 (0%)
[  3]  5.0- 6.0 sec   366 KBytes  3.00 Mbits/sec   0.022 ms    0/  255 (0%)
[  3]  6.0- 7.0 sec   294 KBytes  2.41 Mbits/sec   0.963 ms    0/  205 (0%)
[  3]  7.0- 8.0 sec   296 KBytes  2.42 Mbits/sec   0.918 ms    0/  206 (0%)
[  3]  8.0- 9.0 sec   297 KBytes  2.43 Mbits/sec   0.918 ms    0/  207 (0%)
[  3]  9.0-10.0 sec   297 KBytes  2.43 Mbits/sec   0.919 ms    0/  207 (0%)
[  3] 10.0-11.0 sec   296 KBytes  2.42 Mbits/sec   0.928 ms    0/  206 (0%)
[  3] 11.0-12.0 sec   297 KBytes  2.43 Mbits/sec   0.924 ms    0/  207 (0%)
[  3] 12.0-13.0 sec   280 KBytes  2.29 Mbits/sec   0.413 ms   44/  239 (18%)
[  3] 13.0-14.0 sec   270 KBytes  2.21 Mbits/sec   0.389 ms   66/  254 (26%)
[  3] 14.0-15.0 sec   271 KBytes  2.22 Mbits/sec   0.399 ms   68/  257 (26%)
[  3] 15.0-16.0 sec   266 KBytes  2.18 Mbits/sec   0.438 ms   69/  254 (27%)
[  3] 16.0-17.0 sec   267 KBytes  2.19 Mbits/sec   0.410 ms   67/  253 (26%)
[  3] 17.0-18.0 sec   263 KBytes  2.15 Mbits/sec   0.523 ms   74/  257 (29%)
[  3] 18.0-19.0 sec   268 KBytes  2.20 Mbits/sec   0.437 ms   67/  254 (26%)
[  3] 19.0-20.0 sec   268 KBytes  2.20 Mbits/sec   0.339 ms   69/  256 (27%)
[  3] 20.0-21.0 sec   271 KBytes  2.22 Mbits/sec   0.376 ms   67/  256 (26%)
[  3] 21.0-22.0 sec   270 KBytes  2.21 Mbits/sec   0.412 ms   67/  255 (26%)
[  3] 22.0-23.0 sec   270 KBytes  2.21 Mbits/sec   0.401 ms   65/  253 (26%)
[  3] 23.0-24.0 sec   270 KBytes  2.21 Mbits/sec   0.473 ms   70/  258 (27%)
[  3] 24.0-25.0 sec   270 KBytes  2.21 Mbits/sec   0.419 ms   67/  255 (26%)
[  3] 25.0-26.0 sec   270 KBytes  2.21 Mbits/sec   0.479 ms   67/  255 (26%)
[  3] 26.0-27.0 sec   270 KBytes  2.21 Mbits/sec   0.370 ms   67/  255 (26%)
[  3] 27.0-28.0 sec   271 KBytes  2.22 Mbits/sec   0.391 ms   65/  254 (26%)
[  3] 28.0-29.0 sec   267 KBytes  2.19 Mbits/sec   0.459 ms   68/  254 (27%)
[  3] 29.0-30.0 sec   266 KBytes  2.18 Mbits/sec   0.426 ms   70/  255 (27%)
[  3] 30.0-31.0 sec   280 KBytes  2.29 Mbits/sec   0.422 ms   62/  257 (24%)
[  3] 31.0-32.0 sec   277 KBytes  2.27 Mbits/sec   0.690 ms   61/  254 (24%)
[  3] 32.0-33.0 sec   270 KBytes  2.21 Mbits/sec   0.405 ms   68/  256 (27%)
[  3] 33.0-34.0 sec   264 KBytes  2.16 Mbits/sec   0.390 ms   70/  254 (28%)
[  3] 34.0-35.0 sec   270 KBytes  2.21 Mbits/sec   0.424 ms   66/  254 (26%)
[  3] 35.0-36.0 sec   264 KBytes  2.16 Mbits/sec   0.948 ms   74/  258 (29%)
[  3] 36.0-37.0 sec   268 KBytes  2.20 Mbits/sec   0.366 ms   68/  255 (27%)
[  3] 37.0-38.0 sec   266 KBytes  2.18 Mbits/sec   0.363 ms   69/  254 (27%)
[  3] 38.0-39.0 sec   273 KBytes  2.23 Mbits/sec   0.401 ms   66/  256 (26%)
[  3] 39.0-40.0 sec   274 KBytes  2.25 Mbits/sec   0.596 ms   64/  255 (25%)
[  3] 40.0-41.0 sec   261 KBytes  2.14 Mbits/sec   0.375 ms   72/  254 (28%)
[  3] 41.0-42.0 sec   264 KBytes  2.16 Mbits/sec   0.364 ms   71/  255 (28%)
[  3] 42.0-43.0 sec   270 KBytes  2.21 Mbits/sec   0.401 ms   69/  257 (27%)
[  3] 43.0-44.0 sec   266 KBytes  2.18 Mbits/sec   0.368 ms   69/  254 (27%)
[  3] 44.0-45.0 sec   267 KBytes  2.19 Mbits/sec   0.414 ms   70/  256 (27%)
[  3] 45.0-46.0 sec   261 KBytes  2.14 Mbits/sec   0.580 ms   68/  250 (27%)
[  3] 46.0-47.0 sec   264 KBytes  2.16 Mbits/sec   0.385 ms   73/  257 (28%)
[  3] 47.0-48.0 sec   268 KBytes  2.20 Mbits/sec   0.404 ms   71/  258 (28%)
[  3] 48.0-49.0 sec   266 KBytes  2.18 Mbits/sec   0.399 ms   70/  255 (27%)
[  3] 49.0-50.0 sec   267 KBytes  2.19 Mbits/sec   0.384 ms   68/  254 (27%)
[  3] 50.0-51.0 sec   273 KBytes  2.23 Mbits/sec   0.386 ms   66/  256 (26%)
[  3] 51.0-52.0 sec   270 KBytes  2.21 Mbits/sec   0.457 ms   65/  253 (26%)
[  3] 52.0-53.0 sec   263 KBytes  2.15 Mbits/sec   0.426 ms   74/  257 (29%)
[  3] 53.0-54.0 sec   271 KBytes  2.22 Mbits/sec   0.404 ms   67/  256 (26%)
[  3] 54.0-55.0 sec   270 KBytes  2.21 Mbits/sec   0.397 ms   66/  254 (26%)
[  3] 55.0-56.0 sec   271 KBytes  2.22 Mbits/sec   0.389 ms   67/  256 (26%)
[  3] 56.0-57.0 sec   267 KBytes  2.19 Mbits/sec   0.381 ms   69/  255 (27%)
[  3] 57.0-58.0 sec   263 KBytes  2.15 Mbits/sec   0.375 ms   71/  254 (28%)
[  3] 58.0-59.0 sec   274 KBytes  2.25 Mbits/sec   0.400 ms   62/  253 (25%)
[  3] 59.0-60.0 sec   268 KBytes  2.20 Mbits/sec   0.378 ms   72/  259 (28%)
[  3] 60.0-61.0 sec   273 KBytes  2.23 Mbits/sec   0.394 ms   63/  253 (25%)
[  3] 61.0-62.0 sec   270 KBytes  2.21 Mbits/sec   0.390 ms   69/  257 (27%)
[  3] 62.0-63.0 sec   263 KBytes  2.15 Mbits/sec   0.441 ms   69/  252 (27%)
[  3] 63.0-64.0 sec   273 KBytes  2.23 Mbits/sec   0.410 ms   68/  258 (26%)
[  3] 64.0-65.0 sec   273 KBytes  2.23 Mbits/sec   0.389 ms   64/  254 (25%)
[  3] 65.0-66.0 sec   268 KBytes  2.20 Mbits/sec   0.390 ms   69/  256 (27%)
[  3] 66.0-67.0 sec   267 KBytes  2.19 Mbits/sec   0.398 ms   65/  251 (26%)
[  3] 67.0-68.0 sec   264 KBytes  2.16 Mbits/sec   0.474 ms   74/  258 (29%)
[  3] 68.0-69.0 sec   266 KBytes  2.18 Mbits/sec   0.406 ms   71/  256 (28%)
[  3] 69.0-70.0 sec   267 KBytes  2.19 Mbits/sec   0.384 ms   69/  255 (27%)
[  3] 70.0-71.0 sec   267 KBytes  2.19 Mbits/sec   0.415 ms   67/  253 (26%)
[  3] 71.0-72.0 sec   274 KBytes  2.25 Mbits/sec   0.456 ms   69/  260 (27%)
[  3] 72.0-73.0 sec   276 KBytes  2.26 Mbits/sec   0.501 ms   65/  257 (25%)
[  3] 73.0-74.0 sec   278 KBytes  2.28 Mbits/sec   0.543 ms   62/  256 (24%)
[  3] 74.0-75.0 sec   276 KBytes  2.26 Mbits/sec   0.517 ms   62/  254 (24%)
[  3] 75.0-76.0 sec   276 KBytes  2.26 Mbits/sec   0.542 ms   61/  253 (24%)
[  3] 76.0-77.0 sec   266 KBytes  2.18 Mbits/sec   0.490 ms   68/  253 (27%)
[  3] 77.0-78.0 sec   278 KBytes  2.28 Mbits/sec   0.494 ms   65/  259 (25%)
