------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.1 port 5001 connected with 10.4.0.1 port 50265
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 58.0-59.0 sec  1.15 MBytes  9.61 Mbits/sec   0.156 ms    0/  817 (0%)
[  3] 59.0-60.0 sec  1.16 MBytes  9.71 Mbits/sec   0.104 ms    0/  826 (0%)
[  3] 60.0-61.0 sec  1.16 MBytes  9.70 Mbits/sec   0.110 ms    0/  825 (0%)
[  3] 61.0-62.0 sec  1.16 MBytes  9.70 Mbits/sec   0.118 ms    0/  825 (0%)
[  3] 62.0-63.0 sec  1.15 MBytes  9.63 Mbits/sec   0.217 ms    0/  819 (0%)
[  3] 63.0-64.0 sec  1.16 MBytes  9.70 Mbits/sec   0.179 ms    0/  825 (0%)
[  3] 64.0-65.0 sec  1.16 MBytes  9.70 Mbits/sec   0.300 ms    0/  825 (0%)
[  3] 65.0-66.0 sec  1.16 MBytes  9.70 Mbits/sec   0.186 ms    0/  825 (0%)
[  3] 66.0-67.0 sec  1.15 MBytes  9.63 Mbits/sec   0.228 ms    0/  819 (0%)
[  3] 67.0-68.0 sec  1.16 MBytes  9.70 Mbits/sec   0.185 ms    0/  825 (0%)
[  3] 68.0-69.0 sec  1.16 MBytes  9.71 Mbits/sec   0.107 ms    0/  826 (0%)
[  3] 69.0-70.0 sec  1.16 MBytes  9.70 Mbits/sec   0.246 ms    0/  825 (0%)
[  3] 70.0-71.0 sec  1.01 MBytes  8.50 Mbits/sec   1.219 ms    0/  723 (0%)
[  3] 71.0-72.0 sec   574 KBytes  4.70 Mbits/sec   1.125 ms    0/  400 (0%)
[  3] 72.0-73.0 sec   546 KBytes  4.47 Mbits/sec   1.096 ms   68/  448 (15%)
[  3] 73.0-74.0 sec   146 KBytes  1.20 Mbits/sec   0.485 ms  651/  753 (86%)
[  3] 74.0-75.0 sec   149 KBytes  1.22 Mbits/sec   0.509 ms  674/  778 (87%)
[  3] 75.0-76.0 sec   134 KBytes  1.09 Mbits/sec   0.682 ms  669/  762 (88%)
[  3] 76.0-77.0 sec   142 KBytes  1.16 Mbits/sec   0.807 ms  664/  763 (87%)
[  3] 77.0-78.0 sec   245 KBytes  2.01 Mbits/sec   0.736 ms  598/  769 (78%)
[  3] 78.0-79.0 sec   132 KBytes  1.08 Mbits/sec   0.426 ms  666/  758 (88%)
[  3] 79.0-80.0 sec   151 KBytes  1.23 Mbits/sec   0.654 ms  670/  775 (86%)
[  3] 80.0-81.0 sec   145 KBytes  1.19 Mbits/sec   0.746 ms  660/  761 (87%)
[  3] 81.0-82.0 sec   167 KBytes  1.36 Mbits/sec   0.702 ms  656/  772 (85%)
[  3] 82.0-83.0 sec   139 KBytes  1.14 Mbits/sec   0.712 ms  666/  763 (87%)
[  3] 83.0-84.0 sec   148 KBytes  1.21 Mbits/sec   0.637 ms  659/  762 (86%)
[  3] 84.0-85.0 sec   136 KBytes  1.12 Mbits/sec   0.635 ms  671/  766 (88%)
[  3] 85.0-86.0 sec   148 KBytes  1.21 Mbits/sec   0.531 ms  665/  768 (87%)
[  3] 86.0-87.0 sec   136 KBytes  1.12 Mbits/sec   0.553 ms  666/  761 (88%)
[  3] 87.0-88.0 sec   167 KBytes  1.36 Mbits/sec   0.597 ms  656/  772 (85%)
[  3] 88.0-89.0 sec   135 KBytes  1.11 Mbits/sec   0.513 ms  670/  764 (88%)
[  3] 89.0-90.0 sec   146 KBytes  1.20 Mbits/sec   0.609 ms  658/  760 (87%)
[  3] 90.0-91.0 sec   154 KBytes  1.26 Mbits/sec   0.660 ms  665/  772 (86%)
[  3] 91.0-92.0 sec   135 KBytes  1.11 Mbits/sec   0.499 ms  669/  763 (88%)
[  3] 92.0-93.0 sec   158 KBytes  1.29 Mbits/sec   0.392 ms  663/  773 (86%)
[  3] 93.0-94.0 sec   136 KBytes  1.12 Mbits/sec   0.708 ms  666/  761 (88%)
[  3] 94.0-95.0 sec   134 KBytes  1.09 Mbits/sec   0.808 ms  668/  761 (88%)
[  3] 95.0-96.0 sec   131 KBytes  1.07 Mbits/sec   0.698 ms  668/  759 (88%)
[  3] 96.0-97.0 sec   263 KBytes  2.15 Mbits/sec   0.433 ms  593/  776 (76%)
[  3] 97.0-98.0 sec   154 KBytes  1.26 Mbits/sec   0.613 ms  653/  760 (86%)
[  3] 98.0-99.0 sec   139 KBytes  1.14 Mbits/sec   0.583 ms  674/  771 (87%)
[  3] 99.0-100.0 sec   145 KBytes  1.19 Mbits/sec   0.593 ms  664/  765 (87%)
[  3] 100.0-101.0 sec   155 KBytes  1.27 Mbits/sec   0.537 ms  659/  767 (86%)
[  3] 101.0-102.0 sec   138 KBytes  1.13 Mbits/sec   0.630 ms  662/  758 (87%)
[  3] 102.0-103.0 sec   148 KBytes  1.21 Mbits/sec   0.570 ms  671/  774 (87%)
[  3] 103.0-104.0 sec   139 KBytes  1.14 Mbits/sec   0.685 ms  664/  761 (87%)
[  3] 104.0-105.0 sec   146 KBytes  1.20 Mbits/sec   0.777 ms  672/  774 (87%)
[  3] 105.0-106.0 sec   164 KBytes  1.34 Mbits/sec   0.639 ms  647/  761 (85%)
[  3] 106.0-107.0 sec   178 KBytes  1.46 Mbits/sec   0.535 ms  638/  762 (84%)
[  3] 107.0-108.0 sec   139 KBytes  1.14 Mbits/sec   0.666 ms  662/  759 (87%)
[  3] 108.0-109.0 sec   146 KBytes  1.20 Mbits/sec   0.502 ms  670/  772 (87%)
[  3] 109.0-110.0 sec   155 KBytes  1.27 Mbits/sec   0.400 ms  652/  760 (86%)
[  3] 110.0-111.0 sec   138 KBytes  1.13 Mbits/sec   0.310 ms  673/  769 (88%)
[  3] 111.0-112.0 sec   138 KBytes  1.13 Mbits/sec   0.542 ms  660/  756 (87%)
[  3]  0.0-112.4 sec  42.5 MBytes  3.17 Mbits/sec   0.426 ms 54817/85113 (64%)
[  3]  0.0-112.4 sec  1 datagrams received out-of-order
