------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.1 port 5001 connected with 10.4.0.1 port 41458
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   732 KBytes  6.00 Mbits/sec   0.014 ms    0/  510 (0%)
[  3]  1.0- 2.0 sec   734 KBytes  6.01 Mbits/sec   0.013 ms    0/  511 (0%)
[  3]  2.0- 3.0 sec   732 KBytes  6.00 Mbits/sec   0.017 ms    0/  510 (0%)
[  3]  3.0- 4.0 sec   732 KBytes  6.00 Mbits/sec   0.015 ms    0/  510 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.021 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.013 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   594 KBytes  4.87 Mbits/sec   0.457 ms    0/  414 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.469 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   594 KBytes  4.87 Mbits/sec   0.463 ms    0/  414 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.463 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.464 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   594 KBytes  4.87 Mbits/sec   0.460 ms    0/  414 (0%)
[  3] 12.0-13.0 sec   678 KBytes  5.55 Mbits/sec   0.614 ms    2/  474 (0.42%)
[  3] 13.0-14.0 sec   721 KBytes  5.90 Mbits/sec   0.584 ms    3/  505 (0.59%)
[  3] 14.0-15.0 sec   716 KBytes  5.87 Mbits/sec   0.594 ms   16/  515 (3.1%)
[  3] 15.0-16.0 sec   729 KBytes  5.97 Mbits/sec   0.559 ms    2/  510 (0.39%)
[  3] 16.0-17.0 sec   724 KBytes  5.93 Mbits/sec   0.577 ms    3/  507 (0.59%)
[  3] 17.0-18.0 sec   729 KBytes  5.97 Mbits/sec   0.692 ms    2/  510 (0.39%)
[  3] 18.0-19.0 sec   722 KBytes  5.92 Mbits/sec   0.617 ms   10/  513 (1.9%)
[  3] 19.0-20.0 sec   729 KBytes  5.97 Mbits/sec   0.629 ms    3/  511 (0.59%)
[  3] 20.0-21.0 sec   725 KBytes  5.94 Mbits/sec   0.619 ms    0/  505 (0%)
[  3] 21.0-22.0 sec   731 KBytes  5.99 Mbits/sec   0.573 ms    1/  510 (0.2%)
[  3] 22.0-23.0 sec   718 KBytes  5.88 Mbits/sec   0.832 ms   15/  515 (2.9%)
[  3] 23.0-24.0 sec   732 KBytes  6.00 Mbits/sec   0.575 ms    1/  511 (0.2%)
[  3] 24.0-25.0 sec   731 KBytes  5.99 Mbits/sec   0.585 ms    1/  510 (0.2%)
[  3] 25.0-26.0 sec   719 KBytes  5.89 Mbits/sec   0.569 ms    3/  504 (0.6%)
[  3] 26.0-27.0 sec   713 KBytes  5.84 Mbits/sec   0.558 ms   19/  516 (3.7%)
[  3] 27.0-28.0 sec   731 KBytes  5.99 Mbits/sec   0.580 ms    2/  511 (0.39%)
[  3] 28.0-29.0 sec   731 KBytes  5.99 Mbits/sec   0.567 ms    0/  509 (0%)
[  3] 29.0-30.0 sec   726 KBytes  5.95 Mbits/sec   0.549 ms    0/  506 (0%)
[  3] 30.0-31.0 sec   731 KBytes  5.99 Mbits/sec   0.629 ms    1/  510 (0.2%)
[  3] 31.0-32.0 sec   718 KBytes  5.88 Mbits/sec   0.597 ms   15/  515 (2.9%)
[  3] 32.0-33.0 sec   731 KBytes  5.99 Mbits/sec   0.584 ms    1/  510 (0.2%)
[  3] 33.0-34.0 sec   732 KBytes  6.00 Mbits/sec   0.575 ms    1/  511 (0.2%)
[  3] 34.0-35.0 sec   722 KBytes  5.92 Mbits/sec   0.604 ms    2/  505 (0.4%)
[  3] 35.0-36.0 sec   736 KBytes  6.03 Mbits/sec   0.713 ms    1/  514 (0.19%)
[  3] 36.0-37.0 sec   732 KBytes  6.00 Mbits/sec   0.619 ms    0/  510 (0%)
[  3] 37.0-38.0 sec   732 KBytes  6.00 Mbits/sec   0.584 ms    1/  511 (0.2%)
[  3] 38.0-39.0 sec   731 KBytes  5.99 Mbits/sec   0.558 ms    1/  510 (0.2%)
[  3] 39.0-40.0 sec   729 KBytes  5.97 Mbits/sec   0.637 ms    2/  510 (0.39%)
[  3] 40.0-41.0 sec   729 KBytes  5.97 Mbits/sec   0.590 ms    2/  510 (0.39%)
[  3] 41.0-42.0 sec   726 KBytes  5.95 Mbits/sec   0.598 ms    0/  506 (0%)
[  3] 42.0-43.0 sec   739 KBytes  6.06 Mbits/sec   0.599 ms    0/  515 (0%)
[  3] 43.0-44.0 sec   731 KBytes  5.99 Mbits/sec   0.624 ms    1/  510 (0.2%)
[  3] 44.0-45.0 sec   729 KBytes  5.97 Mbits/sec   0.578 ms    2/  510 (0.39%)
[  3] 45.0-46.0 sec   734 KBytes  6.01 Mbits/sec   0.622 ms    0/  511 (0%)
[  3] 46.0-47.0 sec   725 KBytes  5.94 Mbits/sec   0.586 ms    3/  508 (0.59%)
[  3] 47.0-48.0 sec   716 KBytes  5.87 Mbits/sec   0.584 ms    4/  503 (0.8%)
