------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.2 port 5001 connected with 10.5.0.1 port 35881
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 56.0-57.0 sec   800 KBytes  6.55 Mbits/sec   1.040 ms   28/  585 (4.8%)
[  3] 57.0-58.0 sec   810 KBytes  6.63 Mbits/sec   0.574 ms   30/  594 (5.1%)
[  3] 58.0-59.0 sec   807 KBytes  6.61 Mbits/sec   0.543 ms   37/  599 (6.2%)
[  3] 59.0-60.0 sec   797 KBytes  6.53 Mbits/sec   0.605 ms   34/  589 (5.8%)
[  3] 60.0-61.0 sec   791 KBytes  6.48 Mbits/sec   0.533 ms   41/  592 (6.9%)
[  3] 61.0-62.0 sec   795 KBytes  6.52 Mbits/sec   0.571 ms   40/  594 (6.7%)
[  3] 62.0-63.0 sec   817 KBytes  6.69 Mbits/sec   0.585 ms   26/  595 (4.4%)
[  3] 63.0-64.0 sec   801 KBytes  6.56 Mbits/sec   0.587 ms   37/  595 (6.2%)
[  3] 64.0-65.0 sec   790 KBytes  6.47 Mbits/sec   0.577 ms   37/  587 (6.3%)
[  3] 65.0-66.0 sec   813 KBytes  6.66 Mbits/sec   0.537 ms   26/  592 (4.4%)
[  3] 66.0-67.0 sec   797 KBytes  6.53 Mbits/sec   0.581 ms   43/  598 (7.2%)
[  3] 67.0-68.0 sec   801 KBytes  6.56 Mbits/sec   0.560 ms   34/  592 (5.7%)
[  3] 68.0-69.0 sec   804 KBytes  6.59 Mbits/sec   0.550 ms   33/  593 (5.6%)
[  3] 69.0-70.0 sec   797 KBytes  6.53 Mbits/sec   0.607 ms   35/  590 (5.9%)
[  3] 70.0-71.0 sec   814 KBytes  6.67 Mbits/sec   0.552 ms   31/  598 (5.2%)
[  3] 71.0-72.0 sec   808 KBytes  6.62 Mbits/sec   0.575 ms   28/  591 (4.7%)
[  3] 72.0-73.0 sec   805 KBytes  6.60 Mbits/sec   0.562 ms   34/  595 (5.7%)
[  3] 73.0-74.0 sec   798 KBytes  6.54 Mbits/sec   0.563 ms   35/  591 (5.9%)
[  3] 74.0-75.0 sec   798 KBytes  6.54 Mbits/sec   0.593 ms   36/  592 (6.1%)
[  3] 75.0-76.0 sec   811 KBytes  6.64 Mbits/sec   0.548 ms   30/  595 (5%)
[  3] 76.0-77.0 sec   797 KBytes  6.53 Mbits/sec   0.546 ms   38/  593 (6.4%)
[  3] 77.0-78.0 sec   813 KBytes  6.66 Mbits/sec   0.529 ms   27/  593 (4.6%)
[  3] 78.0-79.0 sec   791 KBytes  6.48 Mbits/sec   0.564 ms   38/  589 (6.5%)
[  3] 79.0-80.0 sec   821 KBytes  6.73 Mbits/sec   0.817 ms   28/  600 (4.7%)
[  3] 80.0-81.0 sec   802 KBytes  6.57 Mbits/sec   0.542 ms   32/  591 (5.4%)
[  3] 81.0-82.0 sec   800 KBytes  6.55 Mbits/sec   0.623 ms   35/  592 (5.9%)
[  3] 82.0-83.0 sec   813 KBytes  6.66 Mbits/sec   0.596 ms   24/  590 (4.1%)
[  3] 83.0-84.0 sec   813 KBytes  6.66 Mbits/sec   0.608 ms   27/  593 (4.6%)
[  3] 84.0-85.0 sec   807 KBytes  6.61 Mbits/sec   0.609 ms   34/  596 (5.7%)
[  3] 85.0-86.0 sec   813 KBytes  6.66 Mbits/sec   0.536 ms   27/  593 (4.6%)
[  3] 86.0-87.0 sec   794 KBytes  6.50 Mbits/sec   0.543 ms   47/  600 (7.8%)
[  3] 87.0-88.0 sec   802 KBytes  6.57 Mbits/sec   0.541 ms   33/  592 (5.6%)
[  3]  0.0-88.6 sec  68.9 MBytes  6.53 Mbits/sec   0.875 ms 2695/51865 (5.2%)
[  3]  0.0-88.6 sec  1 datagrams received out-of-order
