------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.1 port 5001 connected with 10.4.0.1 port 37899
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 57.0-58.0 sec   487 KBytes  3.99 Mbits/sec   0.611 ms    4/  343 (1.2%)
[  3] 58.0-59.0 sec   481 KBytes  3.94 Mbits/sec   0.602 ms    6/  341 (1.8%)
[  3] 59.0-60.0 sec   479 KBytes  3.93 Mbits/sec   0.602 ms    4/  338 (1.2%)
[  3] 60.0-61.0 sec   484 KBytes  3.96 Mbits/sec   0.583 ms    3/  340 (0.88%)
[  3] 61.0-62.0 sec   482 KBytes  3.95 Mbits/sec   0.669 ms    3/  339 (0.88%)
[  3] 62.0-63.0 sec   482 KBytes  3.95 Mbits/sec   0.606 ms    2/  338 (0.59%)
[  3] 63.0-64.0 sec   475 KBytes  3.89 Mbits/sec   1.253 ms   10/  341 (2.9%)
[  3] 64.0-65.0 sec   487 KBytes  3.99 Mbits/sec   0.624 ms    3/  342 (0.88%)
[  3] 65.0-66.0 sec   487 KBytes  3.99 Mbits/sec   0.628 ms    2/  341 (0.59%)
[  3] 66.0-67.0 sec   484 KBytes  3.96 Mbits/sec   0.668 ms    1/  338 (0.3%)
[  3] 67.0-68.0 sec   482 KBytes  3.95 Mbits/sec   0.584 ms    5/  341 (1.5%)
[  3] 68.0-69.0 sec   484 KBytes  3.96 Mbits/sec   1.212 ms    1/  338 (0.3%)
[  3] 69.0-70.0 sec   475 KBytes  3.89 Mbits/sec   0.650 ms    8/  339 (2.4%)
[  3] 70.0-71.0 sec   464 KBytes  3.80 Mbits/sec   0.789 ms   21/  344 (6.1%)
[  3] 71.0-72.0 sec   487 KBytes  3.99 Mbits/sec   0.618 ms    3/  342 (0.88%)
[  3] 72.0-73.0 sec   482 KBytes  3.95 Mbits/sec   0.639 ms    2/  338 (0.59%)
[  3] 73.0-74.0 sec   482 KBytes  3.95 Mbits/sec   0.609 ms    4/  340 (1.2%)
[  3] 74.0-75.0 sec   478 KBytes  3.92 Mbits/sec   0.837 ms    5/  338 (1.5%)
[  3] 75.0-76.0 sec   482 KBytes  3.95 Mbits/sec   0.654 ms    4/  340 (1.2%)
[  3] 76.0-77.0 sec   465 KBytes  3.81 Mbits/sec   0.569 ms   19/  343 (5.5%)
[  3] 77.0-78.0 sec   484 KBytes  3.96 Mbits/sec   0.581 ms    5/  342 (1.5%)
[  3] 78.0-79.0 sec   482 KBytes  3.95 Mbits/sec   0.726 ms    4/  340 (1.2%)
[  3] 79.0-80.0 sec   481 KBytes  3.94 Mbits/sec   0.617 ms    5/  340 (1.5%)
