------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.1 port 5001 connected with 10.2.0.1 port 50868
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   488 KBytes  4.00 Mbits/sec   0.013 ms    0/  340 (0%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.012 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   488 KBytes  4.00 Mbits/sec   0.005 ms    0/  340 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.011 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   488 KBytes  4.00 Mbits/sec   0.013 ms    0/  340 (0%)
[  3]  5.0- 6.0 sec   488 KBytes  4.00 Mbits/sec   0.005 ms    0/  340 (0%)
[  3]  6.0- 7.0 sec   398 KBytes  3.26 Mbits/sec   0.689 ms    0/  277 (0%)
[  3]  7.0- 8.0 sec   392 KBytes  3.21 Mbits/sec   0.693 ms    0/  273 (0%)
[  3]  8.0- 9.0 sec   396 KBytes  3.25 Mbits/sec   0.689 ms    0/  276 (0%)
[  3]  9.0-10.0 sec   395 KBytes  3.23 Mbits/sec   0.689 ms    0/  275 (0%)
[  3] 10.0-11.0 sec   396 KBytes  3.25 Mbits/sec   0.687 ms    0/  276 (0%)
[  3] 11.0-12.0 sec   395 KBytes  3.23 Mbits/sec   0.688 ms    0/  275 (0%)
[  3] 12.0-13.0 sec   454 KBytes  3.72 Mbits/sec   0.592 ms    0/  316 (0%)
[  3] 13.0-14.0 sec   492 KBytes  4.03 Mbits/sec   0.595 ms    0/  343 (0%)
[  3] 14.0-15.0 sec   488 KBytes  4.00 Mbits/sec   0.542 ms    0/  340 (0%)
[  3] 15.0-16.0 sec   488 KBytes  4.00 Mbits/sec   0.600 ms    0/  340 (0%)
[  3] 16.0-17.0 sec   485 KBytes  3.97 Mbits/sec   0.598 ms    0/  338 (0%)
[  3] 17.0-18.0 sec   491 KBytes  4.02 Mbits/sec   0.609 ms    0/  342 (0%)
[  3] 18.0-19.0 sec   488 KBytes  4.00 Mbits/sec   0.597 ms    0/  340 (0%)
[  3] 19.0-20.0 sec   488 KBytes  4.00 Mbits/sec   0.596 ms    0/  340 (0%)
[  3] 20.0-21.0 sec   490 KBytes  4.01 Mbits/sec   0.597 ms    0/  341 (0%)
[  3] 21.0-22.0 sec   484 KBytes  3.96 Mbits/sec   0.644 ms    0/  337 (0%)
[  3] 22.0-23.0 sec   492 KBytes  4.03 Mbits/sec   0.595 ms    0/  343 (0%)
[  3] 23.0-24.0 sec   488 KBytes  4.00 Mbits/sec   0.582 ms    0/  340 (0%)
