------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.3.0.1 port 5001 connected with 10.2.0.1 port 39746
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   366 KBytes  3.00 Mbits/sec   0.015 ms    0/  255 (0%)
[  3]  1.0- 2.0 sec   366 KBytes  3.00 Mbits/sec   0.220 ms    0/  255 (0%)
[  3]  2.0- 3.0 sec   366 KBytes  3.00 Mbits/sec   0.013 ms    0/  255 (0%)
[  3]  3.0- 4.0 sec   366 KBytes  3.00 Mbits/sec   0.088 ms    0/  255 (0%)
[  3]  4.0- 5.0 sec   366 KBytes  3.00 Mbits/sec   0.009 ms    0/  255 (0%)
[  3]  5.0- 6.0 sec   366 KBytes  3.00 Mbits/sec   0.015 ms    0/  255 (0%)
[  3]  6.0- 7.0 sec   297 KBytes  2.43 Mbits/sec   0.917 ms    0/  207 (0%)
[  3]  7.0- 8.0 sec   297 KBytes  2.43 Mbits/sec   0.918 ms    0/  207 (0%)
[  3]  8.0- 9.0 sec   294 KBytes  2.41 Mbits/sec   0.935 ms    0/  205 (0%)
[  3]  9.0-10.0 sec   297 KBytes  2.43 Mbits/sec   0.917 ms    0/  207 (0%)
[  3] 10.0-11.0 sec   297 KBytes  2.43 Mbits/sec   0.919 ms    0/  207 (0%)
[  3] 11.0-12.0 sec   296 KBytes  2.42 Mbits/sec   0.920 ms    0/  206 (0%)
[  3] 12.0-13.0 sec   326 KBytes  2.67 Mbits/sec   0.472 ms   12/  239 (5%)
[  3] 13.0-14.0 sec   337 KBytes  2.76 Mbits/sec   0.404 ms   20/  255 (7.8%)
[  3] 14.0-15.0 sec   337 KBytes  2.76 Mbits/sec   0.423 ms   18/  253 (7.1%)
[  3] 15.0-16.0 sec   334 KBytes  2.74 Mbits/sec   0.416 ms   24/  257 (9.3%)
[  3] 16.0-17.0 sec   342 KBytes  2.80 Mbits/sec   0.452 ms   17/  255 (6.7%)
[  3] 17.0-18.0 sec   343 KBytes  2.81 Mbits/sec   0.426 ms   16/  255 (6.3%)
[  3] 18.0-19.0 sec   339 KBytes  2.78 Mbits/sec   0.463 ms   20/  256 (7.8%)
[  3] 19.0-20.0 sec   337 KBytes  2.76 Mbits/sec   0.471 ms   18/  253 (7.1%)
[  3] 20.0-21.0 sec   333 KBytes  2.73 Mbits/sec   0.531 ms   20/  252 (7.9%)
[  3] 21.0-22.0 sec   336 KBytes  2.75 Mbits/sec   0.411 ms   26/  260 (10%)
[  3] 22.0-23.0 sec   337 KBytes  2.76 Mbits/sec   0.416 ms   20/  255 (7.8%)
[  3] 23.0-24.0 sec   339 KBytes  2.78 Mbits/sec   0.447 ms   19/  255 (7.5%)
