------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.2 port 5001 connected with 10.6.0.1 port 48475
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 57.0-58.0 sec   840 KBytes  6.88 Mbits/sec   0.618 ms    8/  593 (1.3%)
[  3] 58.0-59.0 sec   838 KBytes  6.87 Mbits/sec   0.604 ms    7/  591 (1.2%)
[  3] 59.0-60.0 sec   843 KBytes  6.90 Mbits/sec   0.609 ms   13/  600 (2.2%)
[  3] 60.0-61.0 sec   835 KBytes  6.84 Mbits/sec   0.617 ms   13/  595 (2.2%)
[  3] 61.0-62.0 sec   840 KBytes  6.88 Mbits/sec   0.604 ms   10/  595 (1.7%)
[  3] 62.0-63.0 sec   843 KBytes  6.90 Mbits/sec   0.517 ms    9/  596 (1.5%)
[  3] 63.0-64.0 sec   848 KBytes  6.95 Mbits/sec   0.577 ms    5/  596 (0.84%)
[  3] 64.0-65.0 sec   840 KBytes  6.88 Mbits/sec   0.590 ms   12/  597 (2%)
[  3] 65.0-66.0 sec   835 KBytes  6.84 Mbits/sec   0.559 ms   10/  592 (1.7%)
[  3] 66.0-67.0 sec   843 KBytes  6.90 Mbits/sec   0.565 ms    8/  595 (1.3%)
[  3] 67.0-68.0 sec   833 KBytes  6.82 Mbits/sec   0.707 ms   10/  590 (1.7%)
[  3] 68.0-69.0 sec   843 KBytes  6.90 Mbits/sec   0.653 ms   10/  597 (1.7%)
[  3] 69.0-70.0 sec   846 KBytes  6.93 Mbits/sec   0.600 ms   13/  602 (2.2%)
[  3] 70.0-71.0 sec   841 KBytes  6.89 Mbits/sec   0.618 ms    8/  594 (1.3%)
[  3] 71.0-72.0 sec   835 KBytes  6.84 Mbits/sec   0.584 ms   13/  595 (2.2%)
[  3] 72.0-73.0 sec   840 KBytes  6.88 Mbits/sec   0.569 ms   10/  595 (1.7%)
[  3] 73.0-74.0 sec   840 KBytes  6.88 Mbits/sec   0.721 ms   10/  595 (1.7%)
[  3] 74.0-75.0 sec   831 KBytes  6.81 Mbits/sec   0.540 ms   11/  590 (1.9%)
[  3] 75.0-76.0 sec   853 KBytes  6.99 Mbits/sec   0.572 ms    6/  600 (1%)
[  3] 76.0-77.0 sec   833 KBytes  6.82 Mbits/sec   0.582 ms   16/  596 (2.7%)
[  3] 77.0-78.0 sec   833 KBytes  6.82 Mbits/sec   0.663 ms   16/  596 (2.7%)
[  3] 78.0-79.0 sec   840 KBytes  6.88 Mbits/sec   0.535 ms   11/  596 (1.8%)
[  3] 79.0-80.0 sec   844 KBytes  6.91 Mbits/sec   0.596 ms    6/  594 (1%)
[  3] 80.0-81.0 sec   835 KBytes  6.84 Mbits/sec   0.567 ms   11/  593 (1.9%)
[  3] 81.0-82.0 sec   823 KBytes  6.74 Mbits/sec   0.543 ms   25/  598 (4.2%)
[  3] 82.0-83.0 sec   844 KBytes  6.91 Mbits/sec   0.613 ms    5/  593 (0.84%)
[  3] 83.0-84.0 sec   846 KBytes  6.93 Mbits/sec   0.641 ms    8/  597 (1.3%)
[  3] 84.0-85.0 sec   843 KBytes  6.90 Mbits/sec   0.800 ms   10/  597 (1.7%)
[  3] 85.0-86.0 sec   841 KBytes  6.89 Mbits/sec   0.636 ms    6/  592 (1%)
[  3] 86.0-87.0 sec   835 KBytes  6.84 Mbits/sec   0.529 ms   10/  592 (1.7%)
[  3] 87.0-88.0 sec   851 KBytes  6.97 Mbits/sec   0.545 ms    6/  599 (1%)
[  3]  0.0-88.3 sec  71.7 MBytes  6.81 Mbits/sec   0.716 ms  744/51859 (1.4%)
[  3]  0.0-88.3 sec  1 datagrams received out-of-order
