------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.8.0.2 port 5001 connected with 10.4.0.1 port 53050
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   732 KBytes  6.00 Mbits/sec   0.008 ms    9/  519 (1.7%)
[  3]  1.0- 2.0 sec   732 KBytes  6.00 Mbits/sec   0.013 ms    0/  510 (0%)
[  3]  2.0- 3.0 sec   734 KBytes  6.01 Mbits/sec   0.007 ms    0/  511 (0%)
[  3]  3.0- 4.0 sec   732 KBytes  6.00 Mbits/sec   0.009 ms    0/  510 (0%)
[  3]  4.0- 5.0 sec   732 KBytes  6.00 Mbits/sec   0.007 ms    0/  510 (0%)
[  3]  5.0- 6.0 sec   732 KBytes  6.00 Mbits/sec   0.005 ms    0/  510 (0%)
[  3]  6.0- 7.0 sec   597 KBytes  4.89 Mbits/sec   0.460 ms    0/  416 (0%)
[  3]  7.0- 8.0 sec   593 KBytes  4.86 Mbits/sec   0.458 ms    0/  413 (0%)
[  3]  8.0- 9.0 sec   589 KBytes  4.82 Mbits/sec   0.461 ms    0/  410 (0%)
[  3]  9.0-10.0 sec   593 KBytes  4.86 Mbits/sec   0.461 ms    0/  413 (0%)
[  3] 10.0-11.0 sec   594 KBytes  4.87 Mbits/sec   0.485 ms    0/  414 (0%)
[  3] 11.0-12.0 sec   593 KBytes  4.86 Mbits/sec   0.479 ms    0/  413 (0%)
[  3] 12.0-13.0 sec   683 KBytes  5.60 Mbits/sec   0.584 ms    0/  476 (0%)
[  3] 13.0-14.0 sec   726 KBytes  5.95 Mbits/sec   0.603 ms    0/  506 (0%)
[  3] 14.0-15.0 sec   736 KBytes  6.03 Mbits/sec   0.602 ms    2/  515 (0.39%)
[  3] 15.0-16.0 sec   732 KBytes  6.00 Mbits/sec   0.564 ms    0/  510 (0%)
[  3] 16.0-17.0 sec   731 KBytes  5.99 Mbits/sec   0.588 ms    1/  510 (0.2%)
[  3] 17.0-18.0 sec   729 KBytes  5.97 Mbits/sec   0.577 ms    0/  508 (0%)
[  3] 18.0-19.0 sec   735 KBytes  6.02 Mbits/sec   0.571 ms    0/  512 (0%)
[  3] 19.0-20.0 sec   732 KBytes  6.00 Mbits/sec   0.574 ms    1/  511 (0.2%)
[  3] 20.0-21.0 sec   726 KBytes  5.95 Mbits/sec   0.596 ms    0/  506 (0%)
[  3] 21.0-22.0 sec   731 KBytes  5.99 Mbits/sec   0.554 ms    0/  509 (0%)
[  3] 22.0-23.0 sec   739 KBytes  6.06 Mbits/sec   0.570 ms    0/  515 (0%)
[  3] 23.0-24.0 sec   732 KBytes  6.00 Mbits/sec   0.597 ms    1/  511 (0.2%)
[  3] 24.0-25.0 sec   721 KBytes  5.90 Mbits/sec   0.634 ms    3/  505 (0.59%)
[  3] 25.0-26.0 sec   734 KBytes  6.01 Mbits/sec   0.697 ms    0/  511 (0%)
[  3] 26.0-27.0 sec   736 KBytes  6.03 Mbits/sec   0.566 ms    0/  513 (0%)
[  3] 27.0-28.0 sec   734 KBytes  6.01 Mbits/sec   0.595 ms    1/  512 (0.2%)
[  3] 28.0-29.0 sec   731 KBytes  5.99 Mbits/sec   0.584 ms    0/  509 (0%)
[  3] 29.0-30.0 sec   728 KBytes  5.96 Mbits/sec   0.472 ms    0/  507 (0%)
[  3] 30.0-31.0 sec   735 KBytes  6.02 Mbits/sec   0.568 ms    1/  513 (0.19%)
[  3] 31.0-32.0 sec   729 KBytes  5.97 Mbits/sec   0.539 ms    3/  511 (0.59%)
[  3] 32.0-33.0 sec   732 KBytes  6.00 Mbits/sec   0.574 ms    0/  510 (0%)
[  3] 33.0-34.0 sec   726 KBytes  5.95 Mbits/sec   0.556 ms    0/  506 (0%)
[  3] 34.0-35.0 sec   734 KBytes  6.01 Mbits/sec   1.094 ms    0/  511 (0%)
[  3] 35.0-36.0 sec   726 KBytes  5.95 Mbits/sec   0.523 ms    5/  511 (0.98%)
[  3] 36.0-37.0 sec   729 KBytes  5.97 Mbits/sec   0.562 ms    0/  508 (0%)
[  3] 37.0-38.0 sec   729 KBytes  5.97 Mbits/sec   0.586 ms    1/  509 (0.2%)
[  3] 38.0-39.0 sec   722 KBytes  5.92 Mbits/sec   0.576 ms    2/  505 (0.4%)
[  3] 39.0-40.0 sec   735 KBytes  6.02 Mbits/sec   0.584 ms    0/  512 (0%)
[  3] 40.0-41.0 sec   728 KBytes  5.96 Mbits/sec   0.591 ms    1/  508 (0.2%)
[  3] 41.0-42.0 sec   731 KBytes  5.99 Mbits/sec   0.589 ms    0/  509 (0%)
[  3] 42.0-43.0 sec   729 KBytes  5.97 Mbits/sec   0.636 ms    1/  509 (0.2%)
[  3] 43.0-44.0 sec   728 KBytes  5.96 Mbits/sec   0.574 ms    1/  508 (0.2%)
[  3] 44.0-45.0 sec   731 KBytes  5.99 Mbits/sec   0.541 ms    1/  510 (0.2%)
[  3] 45.0-46.0 sec   722 KBytes  5.92 Mbits/sec   0.607 ms    1/  504 (0.2%)
[  3] 46.0-47.0 sec   735 KBytes  6.02 Mbits/sec   0.580 ms    0/  512 (0%)
[  3] 47.0-48.0 sec   731 KBytes  5.99 Mbits/sec   0.562 ms    0/  509 (0%)
[  3] 48.0-49.0 sec   729 KBytes  5.97 Mbits/sec   0.580 ms    1/  509 (0.2%)
[  3] 49.0-50.0 sec   728 KBytes  5.96 Mbits/sec   0.635 ms    1/  508 (0.2%)
[  3] 50.0-51.0 sec   731 KBytes  5.99 Mbits/sec   0.494 ms    0/  509 (0%)
[  3] 51.0-52.0 sec   725 KBytes  5.94 Mbits/sec   0.572 ms    0/  505 (0%)
[  3] 52.0-53.0 sec   732 KBytes  6.00 Mbits/sec   0.610 ms    2/  512 (0.39%)
[  3] 53.0-54.0 sec   728 KBytes  5.96 Mbits/sec   0.631 ms    1/  508 (0.2%)
[  3] 54.0-55.0 sec   731 KBytes  5.99 Mbits/sec   0.574 ms    0/  509 (0%)
[  3] 55.0-56.0 sec   729 KBytes  5.97 Mbits/sec   0.566 ms    0/  508 (0%)
[  3] 56.0-57.0 sec   729 KBytes  5.97 Mbits/sec   0.660 ms    2/  510 (0.39%)
[  3] 57.0-58.0 sec   724 KBytes  5.93 Mbits/sec   0.662 ms    0/  504 (0%)
[  3] 58.0-59.0 sec   735 KBytes  6.02 Mbits/sec   0.582 ms    1/  513 (0.19%)
[  3] 59.0-60.0 sec   728 KBytes  5.96 Mbits/sec   0.578 ms    1/  508 (0.2%)
[  3] 60.0-61.0 sec   729 KBytes  5.97 Mbits/sec   0.572 ms    1/  509 (0.2%)
[  3] 61.0-62.0 sec   731 KBytes  5.99 Mbits/sec   0.708 ms    0/  509 (0%)
[  3] 62.0-63.0 sec   728 KBytes  5.96 Mbits/sec   0.657 ms    1/  508 (0.2%)
[  3] 63.0-64.0 sec   728 KBytes  5.96 Mbits/sec   0.580 ms    2/  509 (0.39%)
[  3] 64.0-65.0 sec   731 KBytes  5.99 Mbits/sec   0.651 ms    0/  509 (0%)
[  3] 65.0-66.0 sec   726 KBytes  5.95 Mbits/sec   0.640 ms    2/  508 (0.39%)
[  3] 66.0-67.0 sec   731 KBytes  5.99 Mbits/sec   0.600 ms    0/  509 (0%)
[  3] 67.0-68.0 sec   729 KBytes  5.97 Mbits/sec   0.578 ms    0/  508 (0%)
[  3] 68.0-69.0 sec   725 KBytes  5.94 Mbits/sec   0.572 ms    1/  506 (0.2%)
[  3] 69.0-70.0 sec   735 KBytes  6.02 Mbits/sec   0.578 ms    0/  512 (0%)
[  3] 70.0-71.0 sec   731 KBytes  5.99 Mbits/sec   0.597 ms    0/  509 (0%)
[  3] 71.0-72.0 sec   728 KBytes  5.96 Mbits/sec   0.598 ms    1/  508 (0.2%)
[  3] 72.0-73.0 sec   731 KBytes  5.99 Mbits/sec   0.574 ms    0/  509 (0%)
[  3] 73.0-74.0 sec   724 KBytes  5.93 Mbits/sec   0.605 ms    1/  505 (0.2%)
[  3] 74.0-75.0 sec   735 KBytes  6.02 Mbits/sec   0.821 ms    0/  512 (0%)
[  3] 75.0-76.0 sec   731 KBytes  5.99 Mbits/sec   0.541 ms    0/  509 (0%)
[  3] 76.0-77.0 sec   729 KBytes  5.97 Mbits/sec   0.589 ms    0/  508 (0%)
[  3] 77.0-78.0 sec   725 KBytes  5.94 Mbits/sec   0.594 ms    0/  505 (0%)
[  3] 78.0-79.0 sec   734 KBytes  6.01 Mbits/sec   0.573 ms    1/  512 (0.2%)
[  3] 79.0-80.0 sec   729 KBytes  5.97 Mbits/sec   0.530 ms    1/  509 (0.2%)
[  3] 80.0-81.0 sec   725 KBytes  5.94 Mbits/sec   0.588 ms    0/  505 (0%)
[  3] 81.0-82.0 sec   728 KBytes  5.96 Mbits/sec   0.568 ms    2/  509 (0.39%)
[  3] 82.0-83.0 sec   735 KBytes  6.02 Mbits/sec   0.596 ms    1/  513 (0.19%)
[  3] 83.0-84.0 sec   729 KBytes  5.97 Mbits/sec   0.575 ms    0/  508 (0%)
[  3] 84.0-85.0 sec   724 KBytes  5.93 Mbits/sec   0.574 ms    1/  505 (0.2%)
[  3] 85.0-86.0 sec   729 KBytes  5.97 Mbits/sec   0.567 ms    0/  508 (0%)
[  3] 86.0-87.0 sec   736 KBytes  6.03 Mbits/sec   0.565 ms    0/  513 (0%)
[  3] 87.0-88.0 sec   731 KBytes  5.99 Mbits/sec   0.560 ms    0/  509 (0%)
[  3] 88.0-89.0 sec   729 KBytes  5.97 Mbits/sec   0.583 ms    1/  509 (0.2%)
[  3] 89.0-90.0 sec   725 KBytes  5.94 Mbits/sec   0.605 ms    0/  505 (0%)
[  3] 90.0-91.0 sec   732 KBytes  6.00 Mbits/sec   0.529 ms    1/  511 (0.2%)
[  3] 91.0-92.0 sec   729 KBytes  5.97 Mbits/sec   0.715 ms    1/  509 (0.2%)
[  3] 92.0-93.0 sec   728 KBytes  5.96 Mbits/sec   0.597 ms    2/  509 (0.39%)
[  3] 93.0-94.0 sec   725 KBytes  5.94 Mbits/sec   0.594 ms    0/  505 (0%)
[  3] 94.0-95.0 sec   728 KBytes  5.96 Mbits/sec   0.620 ms    2/  509 (0.39%)
[  3] 95.0-96.0 sec   738 KBytes  6.04 Mbits/sec   0.642 ms    0/  514 (0%)
[  3] 96.0-97.0 sec   729 KBytes  5.97 Mbits/sec   0.535 ms    2/  510 (0.39%)
[  3] 97.0-98.0 sec   731 KBytes  5.99 Mbits/sec   0.563 ms    1/  510 (0.2%)
[  3] 98.0-99.0 sec   728 KBytes  5.96 Mbits/sec   0.574 ms    0/  507 (0%)
[  3] 99.0-100.0 sec   731 KBytes  5.99 Mbits/sec   0.605 ms    1/  510 (0.2%)
[  3]  0.0-100.5 sec  70.8 MBytes  5.91 Mbits/sec   0.627 ms   81/50582 (0.16%)
[  3]  0.0-100.5 sec  1 datagrams received out-of-order
