------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.1 port 5001 connected with 10.4.0.2 port 48477
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   395 KBytes  3.23 Mbits/sec   1.669 ms    9/  284 (3.2%)
[  3] 58.0-59.0 sec   462 KBytes  3.79 Mbits/sec   0.593 ms  184/  506 (36%)
[  3] 59.0-60.0 sec   461 KBytes  3.77 Mbits/sec   0.507 ms  188/  509 (37%)
[  3] 60.0-61.0 sec   461 KBytes  3.77 Mbits/sec   0.425 ms  183/  504 (36%)
[  3] 61.0-62.0 sec   458 KBytes  3.75 Mbits/sec   0.452 ms  185/  504 (37%)
[  3] 62.0-63.0 sec   458 KBytes  3.75 Mbits/sec   1.045 ms  191/  510 (37%)
[  3] 63.0-64.0 sec   459 KBytes  3.76 Mbits/sec   0.535 ms  188/  508 (37%)
[  3] 64.0-65.0 sec   464 KBytes  3.80 Mbits/sec   0.601 ms  179/  502 (36%)
[  3] 65.0-66.0 sec   459 KBytes  3.76 Mbits/sec   0.426 ms  187/  507 (37%)
[  3] 66.0-67.0 sec   451 KBytes  3.69 Mbits/sec   1.138 ms  186/  500 (37%)
[  3] 67.0-68.0 sec   461 KBytes  3.77 Mbits/sec   0.520 ms  187/  508 (37%)
[  3] 68.0-69.0 sec   461 KBytes  3.77 Mbits/sec   0.373 ms  189/  510 (37%)
[  3] 69.0-70.0 sec   462 KBytes  3.79 Mbits/sec   0.568 ms  184/  506 (36%)
[  3] 70.0-71.0 sec   462 KBytes  3.79 Mbits/sec   0.626 ms  183/  505 (36%)
[  3] 71.0-72.0 sec   457 KBytes  3.74 Mbits/sec   0.686 ms  182/  500 (36%)
[  3] 72.0-73.0 sec   455 KBytes  3.73 Mbits/sec   0.402 ms  192/  509 (38%)
[  3] 73.0-74.0 sec   458 KBytes  3.75 Mbits/sec   0.499 ms  192/  511 (38%)
[  3] 74.0-75.0 sec   459 KBytes  3.76 Mbits/sec   0.655 ms  183/  503 (36%)
[  3] 75.0-76.0 sec   459 KBytes  3.76 Mbits/sec   0.705 ms  187/  507 (37%)
[  3] 76.0-77.0 sec   462 KBytes  3.79 Mbits/sec   0.476 ms  182/  504 (36%)
[  3] 77.0-78.0 sec   459 KBytes  3.76 Mbits/sec   0.708 ms  187/  507 (37%)
[  3] 78.0-79.0 sec   454 KBytes  3.72 Mbits/sec   0.989 ms  187/  503 (37%)
[  3] 79.0-80.0 sec   459 KBytes  3.76 Mbits/sec   0.524 ms  184/  504 (37%)
[  3] 80.0-81.0 sec   465 KBytes  3.81 Mbits/sec   0.887 ms  184/  508 (36%)
[  3] 81.0-82.0 sec   459 KBytes  3.76 Mbits/sec   0.583 ms  186/  506 (37%)
[  3] 82.0-83.0 sec   457 KBytes  3.74 Mbits/sec   0.885 ms  183/  501 (37%)
[  3] 83.0-84.0 sec   458 KBytes  3.75 Mbits/sec   0.594 ms  186/  505 (37%)
[  3] 84.0-85.0 sec   464 KBytes  3.80 Mbits/sec   0.948 ms  183/  506 (36%)
[  3] 85.0-86.0 sec   462 KBytes  3.79 Mbits/sec   0.549 ms  182/  504 (36%)
[  3] 86.0-87.0 sec   459 KBytes  3.76 Mbits/sec   0.641 ms  189/  509 (37%)
[  3] 87.0-88.0 sec   454 KBytes  3.72 Mbits/sec   0.416 ms  185/  501 (37%)
[  3] 88.0-89.0 sec   462 KBytes  3.79 Mbits/sec   0.807 ms  185/  507 (36%)
[  3] 89.0-90.0 sec   462 KBytes  3.79 Mbits/sec   0.726 ms  184/  506 (36%)
[  3] 90.0-91.0 sec   461 KBytes  3.77 Mbits/sec   0.716 ms  184/  505 (36%)
[  3] 91.0-92.0 sec   457 KBytes  3.74 Mbits/sec   0.509 ms  184/  502 (37%)
[  3] 92.0-93.0 sec   458 KBytes  3.75 Mbits/sec   0.707 ms  187/  506 (37%)
[  3] 93.0-94.0 sec   457 KBytes  3.74 Mbits/sec   0.508 ms  193/  511 (38%)
[  3] 94.0-95.0 sec   457 KBytes  3.74 Mbits/sec   0.451 ms  192/  510 (38%)
[  3] 95.0-96.0 sec   459 KBytes  3.76 Mbits/sec   0.829 ms  185/  505 (37%)
[  3] 96.0-97.0 sec   457 KBytes  3.74 Mbits/sec   0.507 ms  182/  500 (36%)
[  3] 97.0-98.0 sec   458 KBytes  3.75 Mbits/sec   0.535 ms  187/  506 (37%)
[  3] 98.0-99.0 sec   462 KBytes  3.79 Mbits/sec   0.489 ms  187/  509 (37%)
[  3] 99.0-100.0 sec   459 KBytes  3.76 Mbits/sec   1.061 ms  188/  508 (37%)
[  3] 100.0-101.0 sec   462 KBytes  3.79 Mbits/sec   0.821 ms  182/  504 (36%)
[  3] 101.0-102.0 sec   459 KBytes  3.76 Mbits/sec   1.308 ms  188/  508 (37%)
[  3] 102.0-103.0 sec   458 KBytes  3.75 Mbits/sec   1.200 ms  188/  507 (37%)
[  3] 103.0-104.0 sec   451 KBytes  3.69 Mbits/sec   0.693 ms  188/  502 (37%)
[  3] 104.0-105.0 sec   459 KBytes  3.76 Mbits/sec   0.560 ms  182/  502 (36%)
[  3] 105.0-106.0 sec   633 KBytes  5.19 Mbits/sec   1.906 ms  256/  697 (37%)
[  3]  0.0-106.3 sec  47.2 MBytes  3.72 Mbits/sec   0.644 ms 20010/53652 (37%)
