------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.7.0.1 port 5001 connected with 10.3.0.2 port 39947
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 58.0-59.0 sec   297 KBytes  2.43 Mbits/sec   0.343 ms  474/  681 (70%)
[  3] 59.0-60.0 sec   299 KBytes  2.45 Mbits/sec   0.429 ms  470/  678 (69%)
[  3] 60.0-61.0 sec   287 KBytes  2.35 Mbits/sec   1.054 ms  471/  671 (70%)
[  3] 61.0-62.0 sec   309 KBytes  2.53 Mbits/sec   0.609 ms  466/  681 (68%)
[  3] 62.0-63.0 sec   281 KBytes  2.30 Mbits/sec   0.487 ms  490/  686 (71%)
[  3] 63.0-64.0 sec   286 KBytes  2.34 Mbits/sec   0.334 ms  486/  685 (71%)
[  3] 64.0-65.0 sec   301 KBytes  2.47 Mbits/sec   0.373 ms  468/  678 (69%)
[  3] 65.0-66.0 sec   293 KBytes  2.40 Mbits/sec   0.275 ms  478/  682 (70%)
[  3] 66.0-67.0 sec   299 KBytes  2.45 Mbits/sec   0.355 ms  470/  678 (69%)
[  3] 67.0-68.0 sec   299 KBytes  2.45 Mbits/sec   0.276 ms  472/  680 (69%)
[  3] 68.0-69.0 sec   300 KBytes  2.46 Mbits/sec   0.401 ms  469/  678 (69%)
[  3] 69.0-70.0 sec   286 KBytes  2.34 Mbits/sec   0.435 ms  482/  681 (71%)
[  3] 70.0-71.0 sec   293 KBytes  2.40 Mbits/sec   0.378 ms  477/  681 (70%)
[  3] 71.0-72.0 sec   307 KBytes  2.52 Mbits/sec   0.317 ms  467/  681 (69%)
[  3] 72.0-73.0 sec   309 KBytes  2.53 Mbits/sec   0.319 ms  458/  673 (68%)
[  3] 73.0-74.0 sec   322 KBytes  2.63 Mbits/sec   0.371 ms  459/  683 (67%)
[  3] 74.0-75.0 sec   303 KBytes  2.48 Mbits/sec   0.332 ms  470/  681 (69%)
