------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.2.0.2 port 5001 connected with 10.6.0.1 port 44784
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   978 KBytes  8.01 Mbits/sec   0.015 ms   13/  694 (1.9%)
[  3]  1.0- 2.0 sec   976 KBytes  8.00 Mbits/sec   0.012 ms    0/  680 (0%)
[  3]  2.0- 3.0 sec   976 KBytes  8.00 Mbits/sec   0.012 ms    0/  680 (0%)
[  3]  3.0- 4.0 sec   976 KBytes  8.00 Mbits/sec   0.006 ms    0/  680 (0%)
[  3]  4.0- 5.0 sec   978 KBytes  8.01 Mbits/sec   0.008 ms    0/  681 (0%)
[  3]  5.0- 6.0 sec   976 KBytes  8.00 Mbits/sec   0.013 ms    0/  680 (0%)
[  3]  6.0- 7.0 sec   976 KBytes  8.00 Mbits/sec   0.014 ms    0/  680 (0%)
[  3]  7.0- 8.0 sec   976 KBytes  8.00 Mbits/sec   0.015 ms    0/  680 (0%)
[  3]  8.0- 9.0 sec   978 KBytes  8.01 Mbits/sec   0.007 ms    0/  681 (0%)
[  3]  9.0-10.0 sec   662 KBytes  5.42 Mbits/sec   0.972 ms    0/  461 (0%)
[  3] 10.0-11.0 sec   593 KBytes  4.86 Mbits/sec   0.947 ms    0/  413 (0%)
[  3] 11.0-12.0 sec   590 KBytes  4.83 Mbits/sec   0.948 ms    0/  411 (0%)
[  3] 12.0-13.0 sec   824 KBytes  6.75 Mbits/sec   0.397 ms   39/  613 (6.4%)
[  3] 13.0-14.0 sec   891 KBytes  7.30 Mbits/sec   0.363 ms   60/  681 (8.8%)
[  3] 14.0-15.0 sec   880 KBytes  7.21 Mbits/sec   0.389 ms   65/  678 (9.6%)
[  3] 15.0-16.0 sec   887 KBytes  7.27 Mbits/sec   0.374 ms   64/  682 (9.4%)
[  3] 16.0-17.0 sec   887 KBytes  7.27 Mbits/sec   0.425 ms   57/  675 (8.4%)
[  3] 17.0-18.0 sec   866 KBytes  7.09 Mbits/sec   0.377 ms   82/  685 (12%)
[  3] 18.0-19.0 sec   889 KBytes  7.28 Mbits/sec   0.427 ms   62/  681 (9.1%)
[  3] 19.0-20.0 sec   896 KBytes  7.34 Mbits/sec   0.419 ms   57/  681 (8.4%)
[  3] 20.0-21.0 sec   893 KBytes  7.31 Mbits/sec   0.399 ms   58/  680 (8.5%)
[  3] 21.0-22.0 sec   889 KBytes  7.28 Mbits/sec   0.399 ms   61/  680 (9%)
[  3] 22.0-23.0 sec   894 KBytes  7.33 Mbits/sec   0.411 ms   57/  680 (8.4%)
[  3] 23.0-24.0 sec   870 KBytes  7.13 Mbits/sec   0.628 ms   77/  683 (11%)
