------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.1 port 5001 connected with 10.3.0.2 port 59192
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 57.0-58.0 sec  1.16 MBytes  9.70 Mbits/sec   0.200 ms  173/  998 (17%)
[  3] 58.0-59.0 sec  1.15 MBytes  9.68 Mbits/sec   0.330 ms    7/  830 (0.84%)
[  3] 59.0-60.0 sec  1.16 MBytes  9.69 Mbits/sec   0.136 ms    2/  826 (0.24%)
[  3] 60.0-61.0 sec  1.15 MBytes  9.68 Mbits/sec   0.097 ms    0/  823 (0%)
[  3] 61.0-62.0 sec  1.15 MBytes  9.65 Mbits/sec   0.125 ms    3/  824 (0.36%)
[  3] 62.0-63.0 sec  1.16 MBytes  9.69 Mbits/sec   0.181 ms    0/  824 (0%)
[  3] 63.0-64.0 sec  1.15 MBytes  9.68 Mbits/sec   0.124 ms    0/  823 (0%)
[  3] 64.0-65.0 sec  1.15 MBytes  9.68 Mbits/sec   0.164 ms    0/  823 (0%)
[  3] 65.0-66.0 sec  1.15 MBytes  9.62 Mbits/sec   0.103 ms    0/  818 (0%)
[  3] 66.0-67.0 sec  1.15 MBytes  9.68 Mbits/sec   0.136 ms    0/  823 (0%)
[  3] 67.0-68.0 sec  1.15 MBytes  9.68 Mbits/sec   0.124 ms    0/  823 (0%)
[  3] 68.0-69.0 sec  1.16 MBytes  9.69 Mbits/sec   0.099 ms    0/  824 (0%)
[  3] 69.0-70.0 sec  1.14 MBytes  9.58 Mbits/sec   0.145 ms    0/  815 (0%)
[  3] 70.0-71.0 sec  1.15 MBytes  9.68 Mbits/sec   0.100 ms    0/  823 (0%)
[  3] 71.0-72.0 sec  1.16 MBytes  9.69 Mbits/sec   0.097 ms    0/  824 (0%)
[  3] 72.0-73.0 sec  1.14 MBytes  9.58 Mbits/sec   0.117 ms    0/  815 (0%)
[  3] 73.0-74.0 sec  1.15 MBytes  9.68 Mbits/sec   0.090 ms    0/  823 (0%)
[  3] 74.0-75.0 sec  1.15 MBytes  9.68 Mbits/sec   0.093 ms    0/  823 (0%)
[  3] 75.0-76.0 sec  1.16 MBytes  9.69 Mbits/sec   0.125 ms    0/  824 (0%)
[  3] 76.0-77.0 sec  1.14 MBytes  9.57 Mbits/sec   0.109 ms    0/  814 (0%)
[  3] 77.0-78.0 sec  1.15 MBytes  9.68 Mbits/sec   0.145 ms    0/  823 (0%)
[  3] 78.0-79.0 sec  1.15 MBytes  9.68 Mbits/sec   0.123 ms    0/  823 (0%)
[  3] 79.0-80.0 sec  1.16 MBytes  9.69 Mbits/sec   0.095 ms    0/  824 (0%)
[  3] 80.0-81.0 sec  1.15 MBytes  9.68 Mbits/sec   0.092 ms    0/  823 (0%)
[  3] 81.0-82.0 sec  1.15 MBytes  9.68 Mbits/sec   0.128 ms    0/  823 (0%)
[  3] 82.0-83.0 sec  1.15 MBytes  9.68 Mbits/sec   0.092 ms    0/  823 (0%)
[  3] 83.0-84.0 sec  1.16 MBytes  9.69 Mbits/sec   0.102 ms    0/  824 (0%)
[  3] 84.0-85.0 sec  1.15 MBytes  9.68 Mbits/sec   0.102 ms    0/  823 (0%)
[  3] 85.0-86.0 sec  1.14 MBytes  9.60 Mbits/sec   0.096 ms    0/  816 (0%)
[  3] 86.0-87.0 sec  1.15 MBytes  9.68 Mbits/sec   0.121 ms    0/  823 (0%)
[  3] 87.0-88.0 sec  1.15 MBytes  9.68 Mbits/sec   0.088 ms    0/  823 (0%)
[  3] 88.0-89.0 sec  1.15 MBytes  9.68 Mbits/sec   0.102 ms    0/  823 (0%)
[  3] 89.0-90.0 sec  1.16 MBytes  9.69 Mbits/sec   0.109 ms    0/  824 (0%)
[  3] 90.0-91.0 sec  1.14 MBytes  9.58 Mbits/sec   0.142 ms    0/  815 (0%)
[  3] 91.0-92.0 sec  1.16 MBytes  9.69 Mbits/sec   0.302 ms    0/  824 (0%)
[  3] 92.0-93.0 sec  1.15 MBytes  9.68 Mbits/sec   0.103 ms    0/  823 (0%)
[  3] 93.0-94.0 sec  1.15 MBytes  9.68 Mbits/sec   0.092 ms    0/  823 (0%)
[  3] 94.0-95.0 sec  1.16 MBytes  9.69 Mbits/sec   0.116 ms    0/  824 (0%)
[  3] 95.0-96.0 sec  1.15 MBytes  9.68 Mbits/sec   0.096 ms    0/  823 (0%)
