------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.5.0.2 port 5001 connected with 10.1.0.2 port 55097
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3]  0.0- 1.0 sec   488 KBytes  4.00 Mbits/sec   0.009 ms    0/  340 (0%)
[  3]  1.0- 2.0 sec   488 KBytes  4.00 Mbits/sec   0.017 ms    0/  340 (0%)
[  3]  2.0- 3.0 sec   488 KBytes  4.00 Mbits/sec   0.006 ms    0/  340 (0%)
[  3]  3.0- 4.0 sec   488 KBytes  4.00 Mbits/sec   0.012 ms    0/  340 (0%)
[  3]  4.0- 5.0 sec   488 KBytes  4.00 Mbits/sec   0.018 ms    0/  340 (0%)
[  3]  5.0- 6.0 sec   488 KBytes  4.00 Mbits/sec   0.011 ms    0/  340 (0%)
[  3]  6.0- 7.0 sec   398 KBytes  3.26 Mbits/sec   0.691 ms    0/  277 (0%)
[  3]  7.0- 8.0 sec   395 KBytes  3.23 Mbits/sec   0.687 ms    0/  275 (0%)
[  3]  8.0- 9.0 sec   392 KBytes  3.21 Mbits/sec   0.688 ms    0/  273 (0%)
[  3]  9.0-10.0 sec   396 KBytes  3.25 Mbits/sec   0.689 ms    0/  276 (0%)
[  3] 10.0-11.0 sec   395 KBytes  3.23 Mbits/sec   0.687 ms    0/  275 (0%)
[  3] 11.0-12.0 sec   396 KBytes  3.25 Mbits/sec   0.711 ms    0/  276 (0%)
[  3] 12.0-13.0 sec   455 KBytes  3.73 Mbits/sec   0.611 ms    1/  318 (0.31%)
[  3] 13.0-14.0 sec   192 KBytes  1.58 Mbits/sec   0.232 ms  202/  336 (60%)
[  3] 14.0-15.0 sec   118 KBytes   964 Kbits/sec   0.348 ms  262/  344 (76%)
[  3] 15.0-16.0 sec   113 KBytes   929 Kbits/sec   0.136 ms  260/  339 (77%)
[  3] 16.0-17.0 sec   108 KBytes   882 Kbits/sec   0.135 ms  266/  341 (78%)
[  3] 17.0-18.0 sec   111 KBytes   906 Kbits/sec   0.153 ms  260/  337 (77%)
[  3] 18.0-19.0 sec   115 KBytes   941 Kbits/sec   0.252 ms  264/  344 (77%)
[  3] 19.0-20.0 sec   113 KBytes   929 Kbits/sec   0.137 ms  260/  339 (77%)
[  3] 20.0-21.0 sec   108 KBytes   882 Kbits/sec   0.141 ms  257/  332 (77%)
[  3] 21.0-22.0 sec   132 KBytes  1.08 Mbits/sec   0.184 ms  257/  349 (74%)
[  3] 22.0-23.0 sec   106 KBytes   870 Kbits/sec   0.104 ms  263/  337 (78%)
[  3] 23.0-24.0 sec   106 KBytes   870 Kbits/sec   0.144 ms  265/  339 (78%)
[  3] 24.0-25.0 sec   105 KBytes   858 Kbits/sec   0.276 ms  266/  339 (78%)
[  3] 25.0-26.0 sec   106 KBytes   870 Kbits/sec   0.187 ms  265/  339 (78%)
[  3] 26.0-27.0 sec   135 KBytes  1.11 Mbits/sec   0.407 ms  250/  344 (73%)
[  3] 27.0-28.0 sec   115 KBytes   941 Kbits/sec   0.152 ms  259/  339 (76%)
[  3] 28.0-29.0 sec   103 KBytes   847 Kbits/sec   0.145 ms  272/  344 (79%)
