------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.4.0.1 port 5001 connected with 10.2.0.2 port 40725
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 56.0-57.0 sec   577 KBytes  4.73 Mbits/sec   0.180 ms   23/  425 (5.4%)
[  3] 57.0-58.0 sec   576 KBytes  4.72 Mbits/sec   0.183 ms   23/  424 (5.4%)
[  3] 58.0-59.0 sec   571 KBytes  4.68 Mbits/sec   0.227 ms   24/  422 (5.7%)
[  3] 59.0-60.0 sec   576 KBytes  4.72 Mbits/sec   0.235 ms   25/  426 (5.9%)
[  3] 60.0-61.0 sec   571 KBytes  4.68 Mbits/sec   0.208 ms   31/  429 (7.2%)
[  3] 61.0-62.0 sec   576 KBytes  4.72 Mbits/sec   0.215 ms   23/  424 (5.4%)
[  3] 62.0-63.0 sec   577 KBytes  4.73 Mbits/sec   0.152 ms   24/  426 (5.6%)
[  3] 63.0-64.0 sec   570 KBytes  4.67 Mbits/sec   0.221 ms   23/  420 (5.5%)
[  3] 64.0-65.0 sec   576 KBytes  4.72 Mbits/sec   0.187 ms   24/  425 (5.6%)
[  3] 65.0-66.0 sec   576 KBytes  4.72 Mbits/sec   0.269 ms   23/  424 (5.4%)
[  3] 66.0-67.0 sec   570 KBytes  4.67 Mbits/sec   0.162 ms   33/  430 (7.7%)
[  3] 67.0-68.0 sec   576 KBytes  4.72 Mbits/sec   0.245 ms   24/  425 (5.6%)
[  3] 68.0-69.0 sec   571 KBytes  4.68 Mbits/sec   0.415 ms   23/  421 (5.5%)
[  3] 69.0-70.0 sec   577 KBytes  4.73 Mbits/sec   0.164 ms   23/  425 (5.4%)
[  3] 70.0-71.0 sec   576 KBytes  4.72 Mbits/sec   0.229 ms   24/  425 (5.6%)
[  3] 71.0-72.0 sec   573 KBytes  4.69 Mbits/sec   0.373 ms   30/  429 (7%)
[  3] 72.0-73.0 sec   571 KBytes  4.68 Mbits/sec   0.235 ms   22/  420 (5.2%)
[  3] 73.0-74.0 sec   576 KBytes  4.72 Mbits/sec   0.195 ms   24/  425 (5.6%)
[  3] 74.0-75.0 sec   570 KBytes  4.67 Mbits/sec   0.260 ms   32/  429 (7.5%)
[  3] 75.0-76.0 sec   576 KBytes  4.72 Mbits/sec   0.206 ms   24/  425 (5.6%)
[  3] 76.0-77.0 sec   570 KBytes  4.67 Mbits/sec   0.134 ms   23/  420 (5.5%)
[  3] 77.0-78.0 sec   577 KBytes  4.73 Mbits/sec   0.402 ms   24/  426 (5.6%)
[  3] 78.0-79.0 sec   570 KBytes  4.67 Mbits/sec   0.280 ms   32/  429 (7.5%)
[  3] 79.0-80.0 sec   574 KBytes  4.70 Mbits/sec   0.323 ms   25/  425 (5.9%)
[  3] 80.0-81.0 sec   571 KBytes  4.68 Mbits/sec   0.323 ms   22/  420 (5.2%)
[  3] 81.0-82.0 sec   576 KBytes  4.72 Mbits/sec   0.436 ms   24/  425 (5.6%)
[  3] 82.0-83.0 sec   570 KBytes  4.67 Mbits/sec   0.226 ms   32/  429 (7.5%)
[  3] 83.0-84.0 sec   576 KBytes  4.72 Mbits/sec   0.356 ms   25/  426 (5.9%)
[  3] 84.0-85.0 sec   570 KBytes  4.67 Mbits/sec   0.324 ms   23/  420 (5.5%)
[  3] 85.0-86.0 sec   577 KBytes  4.73 Mbits/sec   0.235 ms   23/  425 (5.4%)
[  3] 86.0-87.0 sec   581 KBytes  4.76 Mbits/sec   0.412 ms   24/  429 (5.6%)
[  3] 87.0-88.0 sec   576 KBytes  4.72 Mbits/sec   0.250 ms   24/  425 (5.6%)
[  3] 88.0-89.0 sec   577 KBytes  4.73 Mbits/sec   0.200 ms   23/  425 (5.4%)
[  3] 89.0-90.0 sec   570 KBytes  4.67 Mbits/sec   0.203 ms   23/  420 (5.5%)
[  3] 90.0-91.0 sec   576 KBytes  4.72 Mbits/sec   0.178 ms   23/  424 (5.4%)
[  3] 91.0-92.0 sec   581 KBytes  4.76 Mbits/sec   0.172 ms   25/  430 (5.8%)
[  3] 92.0-93.0 sec   576 KBytes  4.72 Mbits/sec   0.372 ms   24/  425 (5.6%)
[  3] 93.0-94.0 sec   571 KBytes  4.68 Mbits/sec   0.347 ms   23/  421 (5.5%)
[  3] 94.0-95.0 sec   576 KBytes  4.72 Mbits/sec   0.178 ms   24/  425 (5.6%)
[  3] 95.0-96.0 sec   577 KBytes  4.73 Mbits/sec   0.184 ms   23/  425 (5.4%)
[  3] 96.0-97.0 sec   570 KBytes  4.67 Mbits/sec   0.296 ms   32/  429 (7.5%)
[  3] 97.0-98.0 sec   577 KBytes  4.73 Mbits/sec   0.223 ms   22/  424 (5.2%)
[  3] 98.0-99.0 sec   576 KBytes  4.72 Mbits/sec   0.240 ms   24/  425 (5.6%)
[  3] 99.0-100.0 sec   577 KBytes  4.73 Mbits/sec   0.197 ms   23/  425 (5.4%)
[  3] 100.0-101.0 sec   568 KBytes  4.66 Mbits/sec   0.165 ms   25/  421 (5.9%)
[  3] 101.0-102.0 sec   577 KBytes  4.73 Mbits/sec   0.194 ms   22/  424 (5.2%)
[  3] 102.0-103.0 sec   570 KBytes  4.67 Mbits/sec   0.310 ms   33/  430 (7.7%)
[  3] 103.0-104.0 sec   576 KBytes  4.72 Mbits/sec   0.139 ms   23/  424 (5.4%)
[  3] 104.0-105.0 sec   576 KBytes  4.72 Mbits/sec   0.255 ms   25/  426 (5.9%)
[  3] 105.0-106.0 sec   576 KBytes  4.72 Mbits/sec   0.222 ms   23/  424 (5.4%)
[  3] 106.0-107.0 sec   570 KBytes  4.67 Mbits/sec   0.289 ms   23/  420 (5.5%)
[  3] 107.0-108.0 sec   576 KBytes  4.72 Mbits/sec   0.135 ms   23/  424 (5.4%)
[  3] 108.0-109.0 sec   577 KBytes  4.73 Mbits/sec   0.279 ms   24/  426 (5.6%)
[  3] 109.0-110.0 sec   568 KBytes  4.66 Mbits/sec   0.220 ms   33/  429 (7.7%)
[  3] 110.0-111.0 sec   576 KBytes  4.72 Mbits/sec   0.185 ms   23/  424 (5.4%)
[  3] 111.0-112.0 sec   577 KBytes  4.73 Mbits/sec   0.441 ms   24/  426 (5.6%)
[  3] 112.0-113.0 sec   570 KBytes  4.67 Mbits/sec   0.160 ms   24/  421 (5.7%)
[  3] 113.0-114.0 sec   577 KBytes  4.73 Mbits/sec   0.223 ms   22/  424 (5.2%)
[  3] 114.0-115.0 sec   576 KBytes  4.72 Mbits/sec   0.165 ms   24/  425 (5.6%)
[  3] 115.0-116.0 sec   570 KBytes  4.67 Mbits/sec   0.152 ms   32/  429 (7.5%)
[  3] 116.0-117.0 sec   577 KBytes  4.73 Mbits/sec   0.197 ms   24/  426 (5.6%)
[  3] 117.0-118.0 sec   577 KBytes  4.73 Mbits/sec   0.199 ms   22/  424 (5.2%)
[  3] 118.0-119.0 sec   570 KBytes  4.67 Mbits/sec   0.262 ms   23/  420 (5.5%)
[  3] 119.0-120.0 sec   577 KBytes  4.73 Mbits/sec   0.133 ms   23/  425 (5.4%)
[  3] 120.0-121.0 sec   580 KBytes  4.75 Mbits/sec   0.174 ms   26/  430 (6%)
[  3] 121.0-122.0 sec   576 KBytes  4.72 Mbits/sec   0.290 ms   23/  424 (5.4%)
[  3] 122.0-123.0 sec   577 KBytes  4.73 Mbits/sec   0.207 ms   23/  425 (5.4%)
[  3] 123.0-124.0 sec   570 KBytes  4.67 Mbits/sec   0.254 ms   24/  421 (5.7%)
[  3] 124.0-125.0 sec   577 KBytes  4.73 Mbits/sec   0.255 ms   23/  425 (5.4%)
[  3] 125.0-126.0 sec   577 KBytes  4.73 Mbits/sec   0.194 ms   23/  425 (5.4%)
[  3] 126.0-127.0 sec   570 KBytes  4.67 Mbits/sec   0.151 ms   32/  429 (7.5%)
[  3] 127.0-128.0 sec   577 KBytes  4.73 Mbits/sec   0.120 ms   23/  425 (5.4%)
[  3] 128.0-129.0 sec   576 KBytes  4.72 Mbits/sec   0.275 ms   25/  426 (5.9%)
[  3] 129.0-130.0 sec   576 KBytes  4.72 Mbits/sec   0.169 ms   23/  424 (5.4%)
[  3] 130.0-131.0 sec   577 KBytes  4.73 Mbits/sec   0.221 ms   23/  425 (5.4%)
[  3]  0.0-131.4 sec  72.1 MBytes  4.60 Mbits/sec   0.206 ms 3464/54924 (6.3%)
[  3]  0.0-131.4 sec  1 datagrams received out-of-order
