------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.1.0.1 port 5001 connected with 10.5.0.1 port 55266
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 56.0-57.0 sec   825 KBytes  6.76 Mbits/sec   0.621 ms   16/  591 (2.7%)
[  3] 57.0-58.0 sec   843 KBytes  6.90 Mbits/sec   0.582 ms   14/  601 (2.3%)
[  3] 58.0-59.0 sec   838 KBytes  6.87 Mbits/sec   0.574 ms   13/  597 (2.2%)
[  3] 59.0-60.0 sec   824 KBytes  6.75 Mbits/sec   0.569 ms   21/  595 (3.5%)
[  3] 60.0-61.0 sec   828 KBytes  6.79 Mbits/sec   0.554 ms   17/  594 (2.9%)
[  3] 61.0-62.0 sec   824 KBytes  6.75 Mbits/sec   0.656 ms   20/  594 (3.4%)
[  3] 62.0-63.0 sec   833 KBytes  6.82 Mbits/sec   0.586 ms   18/  598 (3%)
[  3] 63.0-64.0 sec   823 KBytes  6.74 Mbits/sec   0.578 ms   15/  588 (2.6%)
[  3] 64.0-65.0 sec   813 KBytes  6.66 Mbits/sec   0.695 ms   36/  602 (6%)
[  3] 65.0-66.0 sec   825 KBytes  6.76 Mbits/sec   0.589 ms   18/  593 (3%)
[  3] 66.0-67.0 sec   825 KBytes  6.76 Mbits/sec   0.577 ms   21/  596 (3.5%)
[  3] 67.0-68.0 sec   837 KBytes  6.86 Mbits/sec   0.574 ms   10/  593 (1.7%)
[  3] 68.0-69.0 sec   835 KBytes  6.84 Mbits/sec   0.525 ms   16/  598 (2.7%)
[  3] 69.0-70.0 sec   825 KBytes  6.76 Mbits/sec   0.579 ms   10/  585 (1.7%)
[  3] 70.0-71.0 sec   811 KBytes  6.64 Mbits/sec   0.580 ms   35/  600 (5.8%)
[  3] 71.0-72.0 sec   835 KBytes  6.84 Mbits/sec   0.591 ms   18/  600 (3%)
[  3] 72.0-73.0 sec   827 KBytes  6.77 Mbits/sec   0.544 ms   16/  592 (2.7%)
[  3] 73.0-74.0 sec   841 KBytes  6.89 Mbits/sec   0.600 ms   11/  597 (1.8%)
[  3]  0.0-74.9 sec  49.0 MBytes  5.49 Mbits/sec   0.531 ms 24050/59016 (41%)
