------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  3] local 10.6.0.1 port 5001 connected with 10.5.0.2 port 60116
[ ID] Interval       Transfer     Bandwidth        Jitter   Lost/Total Datagrams
[  3] 58.0-59.0 sec   856 KBytes  7.01 Mbits/sec   0.030 ms    0/  596 (0%)
[  3] 59.0-60.0 sec   854 KBytes  7.00 Mbits/sec   0.049 ms    0/  595 (0%)
[  3] 60.0-61.0 sec   854 KBytes  7.00 Mbits/sec   0.031 ms    0/  595 (0%)
[  3] 61.0-62.0 sec   854 KBytes  7.00 Mbits/sec   0.072 ms    0/  595 (0%)
[  3] 62.0-63.0 sec   856 KBytes  7.01 Mbits/sec   0.023 ms    0/  596 (0%)
[  3] 63.0-64.0 sec   854 KBytes  7.00 Mbits/sec   0.046 ms    0/  595 (0%)
[  3] 64.0-65.0 sec   854 KBytes  7.00 Mbits/sec   0.016 ms    0/  595 (0%)
[  3] 65.0-66.0 sec   854 KBytes  7.00 Mbits/sec   0.054 ms    0/  595 (0%)
[  3] 66.0-67.0 sec   856 KBytes  7.01 Mbits/sec   0.045 ms    0/  596 (0%)
[  3] 67.0-68.0 sec   854 KBytes  7.00 Mbits/sec   0.023 ms    0/  595 (0%)
[  3] 68.0-69.0 sec   854 KBytes  7.00 Mbits/sec   0.012 ms    0/  595 (0%)
[  3] 69.0-70.0 sec   854 KBytes  7.00 Mbits/sec   0.047 ms    0/  595 (0%)
[  3] 70.0-71.0 sec   856 KBytes  7.01 Mbits/sec   0.119 ms    0/  596 (0%)
[  3] 71.0-72.0 sec   854 KBytes  7.00 Mbits/sec   0.074 ms    0/  595 (0%)
[  3] 72.0-73.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    0/  595 (0%)
[  3] 73.0-74.0 sec   854 KBytes  7.00 Mbits/sec   0.017 ms    0/  595 (0%)
[  3] 74.0-75.0 sec   854 KBytes  7.00 Mbits/sec   0.053 ms    0/  595 (0%)
[  3] 75.0-76.0 sec   856 KBytes  7.01 Mbits/sec   0.011 ms    0/  596 (0%)
[  3] 76.0-77.0 sec   854 KBytes  7.00 Mbits/sec   0.025 ms    0/  595 (0%)
[  3] 77.0-78.0 sec   854 KBytes  7.00 Mbits/sec   0.044 ms    0/  595 (0%)
[  3] 78.0-79.0 sec   854 KBytes  7.00 Mbits/sec   0.041 ms    0/  595 (0%)
[  3] 79.0-80.0 sec   856 KBytes  7.01 Mbits/sec   0.022 ms    0/  596 (0%)
[  3] 80.0-81.0 sec   854 KBytes  7.00 Mbits/sec   0.009 ms    0/  595 (0%)
[  3] 81.0-82.0 sec   854 KBytes  7.00 Mbits/sec   0.013 ms    0/  595 (0%)
[  3] 82.0-83.0 sec   854 KBytes  7.00 Mbits/sec   0.023 ms    0/  595 (0%)
[  3] 83.0-84.0 sec   856 KBytes  7.01 Mbits/sec   0.021 ms    0/  596 (0%)
[  3] 84.0-85.0 sec   854 KBytes  7.00 Mbits/sec   0.028 ms    0/  595 (0%)
[  3] 85.0-86.0 sec   854 KBytes  7.00 Mbits/sec   0.079 ms    0/  595 (0%)
[  3] 86.0-87.0 sec   854 KBytes  7.00 Mbits/sec   0.062 ms    0/  595 (0%)
[  3] 87.0-88.0 sec   854 KBytes  7.00 Mbits/sec   0.045 ms    0/  595 (0%)
[  3] 88.0-89.0 sec   856 KBytes  7.01 Mbits/sec   0.005 ms    0/  596 (0%)
[  3] 89.0-90.0 sec   854 KBytes  7.00 Mbits/sec   0.011 ms    0/  595 (0%)
[  3] 90.0-91.0 sec   854 KBytes  7.00 Mbits/sec   0.047 ms    0/  595 (0%)
[  3]  0.0-91.4 sec  72.9 MBytes  6.69 Mbits/sec   0.282 ms 3433/55448 (6.2%)
